,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-21 20:53:54,Image,92400,677
1,2018-02-28 20:06:49,Video,11705,284
2,2018-02-28 18:27:50,Video,4535,32
3,2018-02-08 09:59:59,Image,35967,571
4,2018-01-15 21:38:46,Image,60242,476
5,2018-01-11 19:46:22,Image,121529,751
6,2018-01-07 18:56:44,Image,139461,573
7,2017-12-15 18:30:23,Image,45615,358
8,2017-11-04 23:46:09,Image,20532,335
9,2017-10-31 16:36:08,Image,91467,594
10,2017-10-23 15:48:04,Image,46466,456
11,2017-09-01 19:29:24,Image,14086,913
12,2017-08-19 17:50:32,Image,85634,894
13,2017-08-09 12:10:14,Image,55797,412
14,2017-08-07 19:34:09,Image,30953,96
15,2017-08-01 20:40:06,Image,65155,257
16,2017-07-26 19:51:52,Video,12012,157
17,2017-07-24 18:18:00,Image,36397,167
18,2017-07-14 23:54:44,Image,27080,216
19,2017-07-09 17:28:45,Image,72899,280
20,2017-06-29 13:21:46,Image,28290,146
21,2017-06-25 18:16:46,Video,29196,277
22,2017-06-18 13:51:22,Image,31199,158
23,2017-06-13 20:31:58,Image,38308,127
24,2017-06-01 20:35:15,Image,36265,171
25,2017-05-30 20:43:04,Image,29928,85
26,2017-05-29 18:47:05,Image,34243,98
27,2017-05-28 16:20:03,Image,28696,68
28,2017-05-27 17:45:23,Image,32423,126
29,2017-05-25 20:48:11,Image,33880,131
30,2017-05-25 17:49:00,Image,40817,140
31,2017-05-19 20:24:39,Image,43802,270
32,2017-05-18 20:09:51,Image,42835,180
33,2017-05-16 19:47:30,Image,54705,170
34,2017-05-13 20:42:54,Image,32367,121
35,2017-04-28 17:42:27,Image,46732,241
36,2017-04-27 17:58:44,Image,102206,1127
37,2017-04-19 21:14:52,Image,66870,376
38,2017-04-14 15:36:15,Image,18057,209
39,2017-04-10 16:35:27,Image,43600,254
40,2017-04-08 21:10:41,Image,25539,108
41,2017-04-02 21:46:56,Image,66842,360
42,2017-03-31 18:52:42,Image,68161,282
43,2017-02-12 00:23:46,Image,44781,703
44,2017-01-29 02:07:18,Image,39783,844
45,2017-01-25 02:36:50,Image,50963,484
46,2017-01-14 15:04:29,Image,30434,186
47,2017-01-12 14:03:47,Video,17138,120
48,2017-01-04 19:41:17,Image,72735,452
49,2016-12-14 17:52:28,Image,35274,346
