,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-27 13:41:42,Image,25425,120
1,2018-03-16 23:26:32,Image,32397,207
2,2018-03-09 00:55:01,Image,44570,381
3,2017-12-18 23:42:37,Image,43302,1545
4,2017-10-25 09:58:24,Image,28553,489
5,2017-10-13 13:41:25,Image,31203,238
6,2017-09-27 21:42:51,Image,15291,259
7,2017-09-16 20:42:36,Image,18688,217
8,2017-09-14 16:27:07,Image,23679,303
9,2017-08-24 08:14:40,Image,35431,274
10,2017-08-24 08:10:53,Image,36603,346
11,2017-08-23 16:32:23,Image,17839,121
12,2017-08-22 21:47:37,Image,30043,234
13,2017-07-21 14:46:15,Image,18859,166
14,2017-04-29 00:04:39,Image,16356,811
15,2017-04-13 14:49:46,Image,16634,324
16,2017-03-25 00:09:18,Video,6093,57
17,2017-03-09 02:50:42,Image,11574,113
18,2017-02-06 00:09:40,Image,12095,279
19,2017-02-02 18:14:13,Image,6203,33
20,2016-12-28 18:12:28,Image,13153,246
21,2016-12-24 20:14:29,Image,21457,200
22,2016-12-07 23:51:31,Video,10339,210
23,2016-12-01 20:22:19,Image,5572,39
24,2016-12-01 20:14:40,Image,15430,161
25,2016-10-25 22:39:07,Image,17730,601
26,2016-10-20 20:50:05,Image,7319,29
27,2016-10-19 10:29:07,Image,9549,88
28,2016-10-11 16:04:23,Image,7413,55
29,2016-10-10 22:53:35,Image,14593,78
30,2016-10-03 22:36:45,Image,18144,134
31,2016-09-27 08:00:09,Image,11083,167
32,2016-09-24 09:12:41,Image,12249,81
33,2016-09-15 13:04:19,Image,5055,55
34,2016-09-15 11:16:33,Image,5085,143
35,2016-09-14 17:08:32,Image,9313,232
36,2016-09-10 16:46:36,Image,6525,57
37,2016-09-10 00:15:27,Image,7418,82
38,2016-09-02 14:36:34,Image,5198,45
39,2016-08-11 22:24:39,Image,7230,150
40,2016-07-11 22:06:08,Image,13655,224
41,2016-07-08 21:03:26,Image,28264,1393
42,2016-07-08 20:57:48,Image,18719,324
43,2016-06-15 17:30:32,Image,17930,6074
44,2016-06-06 14:52:46,Image,5377,282
45,2016-06-06 14:47:11,Image,2258,98
46,2016-06-04 07:39:02,Image,6690,46
47,2016-06-04 07:29:08,Image,3924,78
48,2016-04-15 22:40:07,Image,2876,297
49,2016-03-30 08:46:29,Image,4053,183
50,2016-03-08 14:17:29,Image,3190,67
51,2016-02-14 19:17:05,Image,4151,156
52,2016-02-13 15:13:40,Image,3957,77
53,2016-01-09 22:31:52,Image,4619,221
54,2015-12-30 00:40:04,Image,5241,222
55,2015-12-10 02:25:41,Image,3977,60
56,2015-11-19 14:52:55,Image,3665,149
57,2015-11-07 15:57:05,Image,8249,106
58,2015-11-01 18:41:10,Image,4487,216
59,2015-10-25 19:45:14,Image,3803,38
60,2015-10-23 21:53:38,Image,3672,49
61,2015-10-22 18:25:29,Image,1057,5
62,2015-10-19 22:43:15,Image,2017,10
63,2015-10-17 14:03:59,Image,3259,62
64,2015-10-15 18:15:37,Image,2978,33
65,2015-10-14 23:42:23,Image,4310,37
66,2015-10-12 18:13:00,Image,3159,37
67,2015-10-09 12:14:39,Image,1962,12
68,2015-09-29 21:36:17,Image,5082,83
69,2015-09-21 17:44:56,Image,3299,44
70,2015-09-12 19:55:15,Image,4421,81
71,2015-05-15 23:30:44,Image,8847,802
72,2015-04-21 16:09:45,Image,5315,366
73,2015-04-15 10:45:44,Image,4289,180
74,2015-04-02 19:48:11,Image,5372,99
75,2015-03-30 23:23:27,Image,4595,70
76,2015-03-25 22:23:36,Image,4255,53
77,2015-03-22 19:44:28,Image,4618,120
78,2015-03-14 01:27:43,Image,4780,76
79,2015-03-07 00:19:09,Image,5044,91
80,2015-02-23 22:33:09,Image,10861,454
81,2015-02-16 11:56:13,Image,5388,150
82,2015-02-16 11:54:18,Image,3745,25
83,2015-02-16 11:49:38,Image,4895,61
84,2015-02-15 11:19:29,Image,4701,65
85,2015-02-10 00:44:18,Image,2291,19
86,2015-02-01 00:26:56,Image,4320,88
87,2015-01-29 22:48:58,Image,2473,27
88,2015-01-29 22:46:16,Image,4352,118
89,2015-01-14 17:44:49,Image,3120,78
90,2015-01-11 20:22:45,Image,3316,77
91,2015-01-01 21:20:09,Image,3796,73
92,2014-12-23 13:12:47,Image,1887,45
93,2014-12-11 20:25:21,Image,1973,30
94,2014-11-25 14:10:09,Image,2382,28
95,2014-11-11 00:22:06,Image,1804,38
96,2014-11-07 09:50:34,Image,6143,123
97,2014-11-01 23:41:59,Image,3190,39
98,2014-10-24 15:39:35,Image,2200,46
99,2014-10-23 22:03:04,Image,1756,32
100,2014-10-02 19:59:34,Image,2542,65
101,2014-09-29 14:08:39,Image,6431,217
102,2014-09-22 20:23:42,Image,2387,47
103,2014-08-17 20:48:31,Video,3284,137
104,2014-08-08 22:38:04,Image,1088,5
105,2014-08-08 21:09:03,Image,3865,43
106,2014-08-07 22:59:32,Image,3158,30
107,2014-07-30 21:14:11,Image,1442,39
108,2014-07-21 22:26:45,Image,2237,24
109,2014-07-13 19:14:54,Image,1704,51
110,2014-06-26 18:23:10,Image,2275,29
111,2014-06-25 15:35:16,Image,1332,19
112,2014-06-15 13:40:19,Image,2223,11
113,2014-06-04 17:26:51,Image,1676,17
114,2014-06-03 16:47:55,Image,2744,63
115,2014-05-25 08:56:33,Image,3577,61
116,2014-05-23 16:47:18,Image,1583,41
117,2014-05-02 17:53:42,Image,2168,55
118,2014-04-27 21:09:08,Image,1680,29
119,2014-04-16 11:15:34,Image,792,40
120,2014-04-10 09:30:05,Image,1814,24
121,2014-03-27 15:20:07,Image,2064,41
122,2014-03-20 14:46:36,Image,2142,15
123,2014-03-16 17:56:34,Image,3271,33
124,2014-03-10 22:05:13,Video,1294,45
125,2014-03-05 20:19:31,Image,1182,14
126,2014-02-27 19:05:06,Image,3983,56
127,2014-02-27 18:18:42,Image,1996,50
128,2014-02-19 14:03:11,Video,1357,70
129,2014-02-14 14:02:50,Image,4167,87
130,2014-02-13 23:58:42,Image,1843,40
131,2014-02-09 23:18:21,Image,1474,29
132,2014-01-20 14:20:53,Image,1195,13
133,2014-01-17 16:22:08,Image,2829,112
134,2014-01-16 14:43:09,Image,1753,26
135,2013-12-21 18:48:07,Image,2110,67
136,2013-12-21 14:46:35,Video,713,10
137,2013-12-17 18:48:31,Image,2180,55
138,2013-12-05 19:20:32,Image,1577,18
139,2013-11-23 14:16:58,Image,1282,21
140,2013-11-23 14:00:54,Image,1254,14
141,2013-11-07 12:51:38,Image,1820,20
142,2013-11-07 12:33:39,Image,3503,39
143,2013-10-27 13:31:46,Image,1765,53
144,2013-10-26 16:39:36,Image,673,9
145,2013-10-24 19:50:21,Image,1284,16
146,2013-10-24 15:30:29,Image,1094,24
147,2013-10-22 13:26:09,Image,846,12
148,2013-10-18 15:55:53,Video,857,13
149,2013-10-14 22:15:30,Image,1375,16
150,2013-09-30 14:14:54,Image,925,14
151,2013-09-30 08:43:01,Image,2011,48
152,2013-09-19 13:03:56,Image,1491,63
153,2013-09-18 15:16:34,Image,4421,76
154,2013-09-03 17:21:51,Image,1453,26
155,2013-09-02 13:02:48,Image,832,38
156,2013-08-31 11:44:31,Image,682,11
157,2013-08-30 11:04:55,Image,879,6
158,2013-08-30 11:01:34,Image,1376,16
159,2013-08-30 10:38:58,Video,703,15
160,2013-08-27 12:59:31,Image,1129,25
161,2013-08-27 08:38:34,Image,1709,25
162,2013-07-24 22:31:17,Image,1694,50
163,2013-07-24 22:25:29,Image,894,14
164,2013-07-20 15:17:55,Image,908,13
165,2013-07-15 04:35:39,Image,959,10
166,2013-07-14 11:00:29,Image,831,9
167,2013-07-14 10:49:05,Video,649,24
168,2013-07-13 15:15:41,Image,861,12
169,2013-07-13 10:42:27,Video,2199,53
170,2013-07-12 19:18:46,Video,744,23
171,2013-07-10 23:13:44,Image,2054,35
172,2013-07-04 21:22:33,Image,966,17
173,2013-06-22 22:55:17,Image,1193,18
174,2013-06-16 16:01:12,Image,765,17
175,2013-06-15 13:30:27,Image,1057,18
176,2013-06-15 13:28:09,Image,669,8
177,2013-06-13 20:39:26,Image,1022,35
178,2013-06-10 21:32:31,Image,1239,19
179,2013-06-10 21:30:37,Image,1089,12
180,2013-06-06 20:31:40,Image,2912,43
181,2013-06-03 21:55:59,Image,1523,57
182,2013-06-03 21:54:26,Image,2958,41
183,2013-06-02 17:33:32,Image,1351,26
184,2013-05-26 15:45:45,Image,1316,22
185,2013-05-25 11:40:36,Image,989,24
186,2013-05-19 13:05:41,Image,1968,72
187,2013-05-13 10:06:10,Image,1383,25
188,2013-05-13 08:21:26,Image,1150,16
189,2013-05-12 18:04:03,Image,2865,63
190,2013-05-12 17:59:18,Image,1015,8
191,2013-05-09 17:55:23,Image,656,32
192,2013-05-02 00:00:54,Image,1230,24
193,2013-04-09 01:01:58,Image,1214,14
194,2013-04-08 19:22:52,Image,1097,14
195,2013-03-21 14:08:40,Image,2544,82
196,2013-03-21 14:07:24,Image,2122,28
197,2013-03-12 22:54:54,Image,2155,52
198,2013-03-07 18:32:51,Image,1534,54
199,2013-03-04 17:54:55,Image,782,21
200,2013-02-28 22:28:48,Image,990,23
201,2013-02-28 16:55:34,Image,905,11
202,2013-02-24 12:23:26,Image,1070,23
203,2013-02-24 01:08:56,Image,1306,71
204,2013-02-21 20:51:30,Image,1785,86
205,2013-02-17 20:47:54,Image,1703,32
206,2013-02-12 18:17:15,Image,1057,15
207,2013-02-12 02:08:14,Image,850,25
208,2013-01-26 10:48:44,Image,1021,19
209,2013-01-26 09:51:29,Image,1887,35
210,2013-01-19 00:20:00,Image,640,10
211,2013-01-18 23:54:12,Image,1043,31
212,2013-01-17 23:30:51,Image,1019,20
