,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-09 00:10:30,Image,7107,98
1,2018-02-15 23:42:54,Image,4029,54
2,2018-02-14 18:26:23,Image,3695,50
3,2018-02-14 11:33:11,Image,2075,17
4,2018-02-13 21:13:50,Image,4419,58
5,2018-02-11 17:01:55,Image,5875,100
6,2018-02-10 15:24:51,Image,6086,118
7,2018-01-18 22:45:52,Image,4071,69
8,2018-01-09 22:19:04,Image,4661,66
9,2018-01-03 23:50:58,Image,4472,54
10,2017-12-24 18:16:19,Image,4220,47
11,2017-12-22 23:44:32,Image,3454,41
12,2017-12-21 21:39:14,Image,3836,27
13,2017-12-08 17:23:31,Image,611,22
14,2017-12-03 20:42:42,Image,4801,63
15,2017-11-28 22:00:44,Image,4821,64
16,2017-11-22 17:04:05,Image,4661,60
17,2017-11-20 17:59:18,Image,4861,82
18,2017-11-18 19:04:39,Image,3752,34
19,2017-11-15 18:25:48,Image,4252,56
20,2017-11-11 19:15:09,Image,4567,43
21,2017-11-07 19:12:07,Image,4654,88
22,2017-11-05 17:07:59,Image,3226,34
23,2017-10-30 20:36:42,Image,4628,59
24,2017-10-22 19:21:12,Image,4837,77
25,2017-10-10 21:34:12,Image,2689,54
26,2017-10-09 21:01:08,Image,3586,47
27,2017-10-08 23:14:31,Image,4880,70
28,2017-10-06 21:22:20,Image,4075,61
29,2017-09-23 23:47:19,Video,1784,32
30,2017-09-15 21:13:45,Image,6239,134
31,2017-09-12 21:01:49,Image,2394,18
32,2017-09-09 17:25:37,Image,2797,42
33,2017-09-02 01:42:14,Image,2749,47
34,2017-09-01 18:57:42,Image,5629,62
35,2017-08-24 20:10:36,Image,3750,41
36,2017-08-22 19:58:41,Image,9465,273
37,2017-08-12 14:36:12,Image,2298,52
38,2017-08-05 19:01:03,Image,4464,111
39,2017-07-25 22:36:31,Image,14648,803
40,2017-07-23 13:45:09,Image,6165,397
41,2017-04-07 02:42:58,Video,11370,391
42,2017-03-27 21:38:21,Image,9016,201
43,2017-03-24 01:24:08,Image,5537,116
44,2017-03-16 19:45:05,Image,3890,34
45,2017-03-13 00:03:56,Image,4928,64
46,2017-03-10 22:22:35,Image,4278,52
47,2017-03-07 17:16:43,Image,2503,20
48,2017-02-17 19:31:00,Image,4026,57
49,2017-02-16 17:22:38,Video,2255,59
50,2017-02-11 19:31:16,Image,2769,30
51,2017-02-04 21:34:30,Image,4190,88
52,2017-01-12 02:49:32,Image,5886,104
53,2017-01-10 01:27:00,Image,3943,53
54,2017-01-09 23:29:06,Image,3885,38
55,2017-01-06 22:36:29,Image,3783,55
56,2017-01-01 23:09:01,Image,5552,76
57,2016-12-29 22:34:27,Video,1338,27
58,2016-12-22 23:27:46,Image,3458,78
59,2016-12-14 02:37:47,Image,4536,124
60,2016-12-11 18:42:43,Image,3284,26
61,2016-12-05 23:58:30,Image,3835,70
62,2016-12-04 02:25:58,Image,4528,87
63,2016-11-24 15:31:33,Image,3978,35
64,2016-11-12 19:51:27,Image,4879,73
65,2016-11-10 22:07:58,Image,3995,405
66,2016-10-25 18:39:59,Image,5764,215
67,2016-10-20 18:17:57,Image,2495,26
68,2016-10-17 21:55:35,Image,2654,23
69,2016-10-05 23:07:31,Image,5098,55
70,2016-10-04 21:20:06,Image,3528,31
71,2016-10-02 20:46:10,Image,3352,29
72,2016-09-12 21:47:26,Image,2868,30
73,2016-09-08 22:42:03,Image,2440,54
74,2016-09-04 01:31:51,Image,2317,43
75,2016-09-03 16:28:06,Image,2676,66
76,2016-08-27 19:09:14,Image,1960,14
77,2016-08-27 18:24:43,Image,1804,17
78,2016-08-26 00:09:29,Image,2399,21
79,2016-08-24 21:20:21,Image,2501,53
80,2016-08-12 22:13:38,Image,3525,42
81,2016-08-12 00:31:14,Image,4650,139
82,2016-08-10 23:24:46,Image,3786,70
83,2016-08-08 23:56:35,Image,2131,15
84,2016-08-07 19:32:59,Image,2885,59
85,2016-07-31 17:03:44,Image,3406,36
86,2016-07-22 22:10:09,Image,3724,67
87,2016-07-13 22:01:39,Image,5568,177
88,2016-07-12 22:02:08,Image,3442,53
89,2016-07-10 18:11:01,Image,5938,384
90,2016-05-19 22:44:24,Image,3033,124
91,2016-05-16 22:02:33,Image,4017,128
92,2016-05-12 22:33:54,Image,3974,116
93,2016-05-08 15:37:16,Image,1563,29
94,2016-05-08 00:49:34,Image,4364,91
95,2016-04-30 22:21:21,Image,2793,24
96,2016-04-30 02:00:59,Image,4405,63
97,2016-04-26 22:13:06,Image,2000,33
98,2016-04-24 22:06:46,Image,2889,39
99,2016-04-13 21:23:34,Image,3385,55
100,2016-04-10 22:45:08,Image,2238,24
101,2016-04-07 21:05:23,Image,4501,98
102,2016-03-29 01:04:49,Image,3332,48
103,2016-03-16 22:39:54,Video,1093,24
104,2016-02-23 00:14:48,Image,2182,47
105,2016-02-15 00:00:31,Image,1870,32
106,2016-02-11 21:40:14,Image,2507,90
107,2016-02-09 00:59:18,Image,3169,60
108,2016-02-01 23:07:28,Image,2230,29
109,2016-01-30 20:54:08,Image,2037,38
110,2016-01-18 18:34:42,Image,2089,44
111,2016-01-15 23:44:03,Image,2800,125
112,2016-01-11 22:27:19,Image,2443,62
113,2016-01-09 23:25:14,Image,2794,84
114,2016-01-08 00:04:08,Image,2923,48
115,2015-12-28 22:51:56,Image,2564,60
116,2015-12-27 20:23:18,Image,2199,51
117,2015-12-25 23:09:29,Image,2222,62
118,2015-12-17 23:29:30,Image,2096,65
119,2015-12-11 19:04:07,Image,1505,22
120,2015-12-10 00:41:20,Image,1965,34
121,2015-12-06 00:26:09,Image,2203,30
122,2015-12-04 23:18:24,Image,1815,31
123,2015-12-04 18:08:45,Video,1584,23
124,2015-12-02 22:26:17,Image,1749,71
125,2015-11-23 22:24:31,Image,1817,58
126,2015-11-21 23:54:45,Image,1720,49
127,2015-11-13 18:08:14,Image,1509,18
128,2015-11-12 22:32:48,Image,1923,74
129,2015-11-10 22:30:29,Video,1531,23
130,2015-11-06 22:47:39,Image,2111,41
131,2015-10-26 21:31:49,Image,1775,28
132,2015-10-16 21:25:28,Image,328,8
133,2015-10-14 21:13:12,Image,1712,33
134,2015-10-11 20:35:52,Image,1914,55
135,2015-10-09 21:58:27,Image,1458,33
136,2015-09-29 00:26:53,Image,1319,28
137,2015-09-26 00:10:36,Image,1441,41
138,2015-09-13 17:16:41,Image,1101,20
139,2015-09-07 17:09:28,Image,940,15
140,2015-08-29 22:15:55,Video,2397,271
141,2015-08-23 20:15:34,Image,1169,15
142,2015-08-12 22:24:26,Image,913,12
143,2015-08-09 16:30:45,Image,844,9
144,2015-07-30 22:34:57,Image,1379,18
145,2015-07-27 20:05:18,Image,606,7
146,2015-07-25 18:23:06,Image,1006,24
147,2015-07-17 21:37:51,Image,1288,28
148,2015-07-13 21:20:09,Image,1183,37
149,2015-07-09 21:58:22,Image,1226,22
150,2015-06-12 23:03:48,Image,1268,120
151,2015-06-01 22:57:21,Image,970,34
152,2015-05-26 21:24:16,Image,1024,26
153,2015-05-22 20:04:21,Image,986,22
154,2015-05-21 20:42:33,Image,1002,54
155,2015-05-10 20:27:22,Image,1144,14
156,2015-04-30 21:06:42,Image,945,11
157,2015-04-24 22:44:02,Image,735,16
158,2015-04-09 21:51:05,Image,1332,82
159,2015-04-05 20:23:50,Image,832,23
160,2015-03-26 21:15:36,Image,1138,40
161,2015-03-16 22:08:21,Image,913,33
162,2015-03-08 21:29:10,Image,1285,25
163,2015-02-27 22:45:33,Image,1007,27
164,2015-02-24 22:35:17,Image,1128,10
165,2015-02-22 01:44:38,Image,988,30
166,2015-01-30 00:07:50,Image,936,23
167,2015-01-26 23:43:35,Image,950,26
168,2015-01-21 17:17:02,Image,846,15
169,2015-01-17 00:29:56,Image,1114,25
170,2015-01-15 23:30:41,Image,1117,37
171,2015-01-07 00:25:58,Image,1335,64
172,2015-01-01 19:19:21,Image,850,18
173,2015-01-01 01:36:22,Image,908,37
174,2014-12-25 22:17:01,Image,1222,21
175,2014-12-24 17:21:51,Image,985,39
176,2014-12-14 23:55:25,Image,1108,40
177,2014-12-08 22:16:28,Image,1385,48
