,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-14 19:12:48,Image,38620,238
1,2018-03-10 16:13:03,Image,19794,109
2,2018-02-18 01:43:16,Image,42534,229
3,2018-02-11 03:12:00,Image,35473,173
4,2018-01-28 01:02:44,Video,29200,726
5,2018-01-16 14:53:35,Image,54138,311
6,2017-12-25 20:48:48,Image,57574,408
7,2017-12-07 13:13:06,Image,39209,252
8,2017-10-20 15:06:02,Image,30182,350
9,2017-08-24 10:50:22,Image,22734,252
10,2017-08-15 22:31:52,Image,20661,103
11,2017-06-19 16:35:08,Image,79155,3027
12,2017-06-14 02:17:23,Video,24066,469
13,2017-05-30 21:52:07,Video,28590,722
14,2016-06-27 14:48:24,Image,53231,2006
15,2012-12-20 01:09:52,Image,13865,508
