,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-29 17:45:17,Image,71807,132
1,2018-03-26 17:09:19,Image,80047,170
2,2018-03-24 18:47:14,Image,68723,121
3,2018-03-21 18:47:53,Image,62391,126
4,2018-03-20 21:32:06,Image,49424,76
5,2018-03-19 18:07:47,Image,63677,243
6,2018-03-16 14:45:17,Image,75985,204
7,2018-03-15 20:03:22,Image,66233,85
8,2018-03-14 18:17:07,Image,60331,47
9,2018-03-14 15:58:51,Image,72911,235
10,2018-03-13 15:04:02,Image,66867,124
11,2018-03-11 14:50:34,Image,60933,38
12,2018-03-11 02:13:29,Image,73917,201
13,2018-03-08 16:50:29,Image,64787,127
14,2018-03-07 17:11:57,Video,38151,71
15,2018-03-05 15:49:27,Image,69646,252
16,2018-03-01 18:14:28,Image,54489,72
17,2018-03-01 14:08:35,Video,19121,45
18,2018-02-28 13:28:04,Image,58938,281
19,2018-02-26 15:03:20,Image,81617,354
20,2018-02-25 00:19:34,Image,54902,48
21,2018-02-23 16:35:35,Image,66296,177
22,2018-02-20 20:52:23,Video,62903,204
23,2018-02-16 16:08:50,Image,55566,61
24,2018-02-15 00:25:00,Image,54704,220
25,2018-02-14 14:19:33,Video,52041,31
26,2018-02-12 15:44:00,Image,74856,1199
27,2018-02-11 14:43:44,Video,56967,50
28,2018-02-10 14:52:36,Image,58749,157
29,2018-02-09 18:15:54,Image,57775,156
30,2018-02-08 15:08:40,Image,55490,179
31,2018-02-07 18:42:57,Image,61428,231
32,2018-02-06 18:08:04,Image,65259,139
33,2018-02-05 15:40:40,Image,69911,197
34,2018-02-01 13:54:50,Image,65860,317
35,2018-01-31 22:39:46,Image,69848,807
36,2018-01-29 23:11:48,Image,112901,1471
37,2018-01-28 17:18:52,Image,69469,157
38,2018-01-27 11:26:45,Image,101156,138
39,2018-01-25 18:35:23,Video,52576,141
40,2018-01-22 20:09:13,Video,108354,381
41,2018-01-21 12:51:31,Image,56541,232
42,2018-01-18 18:01:56,Image,73898,206
43,2018-01-13 14:46:53,Image,77136,210
44,2018-01-09 01:25:57,Image,70753,172
45,2018-01-08 00:11:20,Image,73267,204
46,2018-01-04 18:55:12,Image,87988,362
47,2018-01-01 14:56:23,Image,71932,271
48,2017-12-29 19:02:12,Image,93965,389
49,2017-12-28 15:28:15,Image,69041,221
50,2017-12-25 03:45:27,Image,67832,28
51,2017-12-24 21:03:11,Image,66717,272
52,2017-12-23 01:13:24,Image,89789,416
53,2017-12-19 22:57:25,Video,67780,221
54,2017-12-17 16:55:35,Image,47302,297
55,2017-12-16 12:21:07,Image,45735,316
56,2017-12-13 20:33:33,Image,42816,475
57,2017-12-03 18:57:35,Image,36605,300
58,2017-11-28 20:42:32,Image,38049,989
59,2017-11-25 00:35:01,Image,37643,384
60,2017-11-22 16:11:11,Image,36981,165
61,2017-11-17 18:48:02,Video,11579,146
