,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-16 12:10:13,Image,205103,1441
1,2018-03-08 23:11:53,Image,83290,1637
2,2018-03-06 15:57:28,Image,108178,573
3,2018-02-23 13:51:30,Image,42956,571
4,2018-01-27 03:44:08,Image,220994,1625
5,2018-01-23 01:59:57,Image,231349,1109
6,2018-01-17 00:20:29,Image,168149,1411
7,2018-01-14 23:31:05,Image,30478,289
8,2018-01-04 16:36:46,Image,136410,1211
9,2017-12-28 01:34:50,Image,98004,503
10,2017-12-24 12:16:55,Image,148008,731
11,2017-11-21 18:06:38,Video,31975,837
12,2017-11-14 23:45:59,Image,178279,1213
13,2017-10-31 18:48:08,Video,49184,622
14,2017-10-13 14:17:43,Video,27661,546
15,2017-10-02 15:31:01,Image,106467,1669
16,2017-09-29 11:43:26,Image,69251,327
17,2017-09-25 18:07:36,Image,115141,906
18,2017-09-15 10:08:17,Image,118985,898
19,2017-09-01 15:00:30,Video,30748,569
20,2017-08-26 17:23:48,Image,62691,396
21,2017-08-23 17:31:00,Image,29416,149
22,2017-08-01 21:28:55,Image,70438,774
23,2017-07-27 17:21:41,Image,46658,333
24,2017-07-26 17:27:44,Image,47775,376
25,2017-07-17 17:49:01,Image,16243,387
26,2017-07-06 21:06:54,Image,22955,265
27,2017-02-22 12:10:57,Image,118566,2946
28,2017-02-20 23:12:45,Image,109786,2366
29,2017-02-14 13:28:14,Image,43909,1703
30,2017-02-01 13:11:44,Video,19972,434
31,2017-01-15 21:23:44,Image,29430,996
32,2016-12-15 19:50:37,Image,80145,451
33,2016-12-15 13:28:51,Image,28621,195
34,2016-10-19 13:55:01,Video,15918,856
35,2016-10-11 22:52:00,Image,55453,933
36,2016-10-03 20:48:57,Image,24211,241
37,2016-09-28 14:19:04,Image,21202,110
38,2016-09-24 15:03:09,Image,44795,276
39,2016-08-24 00:15:12,Image,18599,364
40,2016-08-22 23:23:24,Video,13547,115
41,2016-08-21 13:31:05,Video,24293,310
42,2016-08-18 17:46:39,Image,26005,269
43,2016-07-30 01:11:53,Image,26744,187
44,2016-07-30 01:07:51,Image,27873,122
45,2016-07-30 01:05:20,Image,31893,214
46,2016-07-29 18:26:34,Image,42108,857
47,2016-07-16 18:48:50,Image,31671,116
