,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-30 08:22:19,Image,449,8
1,2018-03-30 00:28:03,Image,1816,17
2,2018-03-27 01:22:15,Image,1568,37
3,2018-03-26 08:31:02,Image,234,5
4,2018-03-25 09:01:48,Image,374,8
5,2018-03-25 01:22:11,Image,1987,55
6,2018-03-24 00:33:40,Image,938,28
7,2018-03-18 01:18:43,Image,1049,15
8,2018-03-16 11:28:51,Image,1044,34
9,2018-03-16 11:24:41,Image,232,4
10,2018-03-15 11:31:48,Image,282,9
11,2018-03-12 11:02:55,Image,321,11
12,2018-03-08 11:21:48,Image,795,250
13,2018-03-05 10:11:55,Image,497,306
14,2018-03-01 18:18:43,Image,1767,378
15,2018-03-01 11:20:12,Image,1514,19
16,2018-03-01 09:24:42,Image,516,12
17,2018-02-27 11:53:43,Image,469,14
18,2018-02-24 15:06:40,Image,2161,33
19,2018-02-23 11:30:38,Image,1086,9
20,2018-02-22 14:17:24,Image,774,24
21,2018-02-20 20:49:04,Image,1304,19
22,2018-02-18 12:57:33,Video,446,12
23,2018-02-15 22:44:39,Image,1695,97
24,2018-02-14 14:06:32,Image,1492,24
25,2018-02-14 09:48:47,Image,254,6
26,2018-02-13 18:50:20,Image,193,10
27,2018-02-10 22:44:31,Image,2413,35
28,2018-02-07 12:55:57,Image,644,70
29,2018-02-06 02:08:02,Image,2501,59
30,2018-02-02 10:26:21,Image,2350,42
31,2018-01-31 16:02:19,Image,1376,24
32,2018-01-29 00:15:40,Image,1605,43
33,2018-01-26 14:52:08,Image,155,5
34,2018-01-22 09:32:11,Image,208,3
35,2018-01-22 01:02:38,Image,752,26
36,2018-01-14 23:48:19,Image,512,14
37,2018-01-13 00:28:25,Image,561,16
38,2018-01-10 23:54:48,Image,1031,20
39,2018-01-01 09:21:02,Image,661,30
40,2017-12-31 01:20:09,Image,1278,28
41,2017-12-29 20:47:15,Image,791,19
42,2017-12-26 13:52:25,Image,989,22
43,2017-12-24 19:57:47,Image,1505,40
44,2017-12-23 14:04:36,Image,1190,15
45,2017-12-21 22:19:44,Image,220,9
46,2017-12-21 02:30:24,Image,715,8
47,2017-12-19 09:36:43,Image,292,14
