,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-23 00:52:07,Video,10576,380
1,2018-03-23 00:13:59,Image,15610,416
2,2018-03-22 20:29:55,Image,13614,115
3,2018-02-15 23:41:47,Image,7566,538
4,2018-02-02 03:53:42,Image,10284,189
5,2018-01-31 15:04:18,Image,10940,63
6,2017-12-27 20:27:32,Image,12119,602
7,2017-11-24 10:38:53,Image,16099,809
8,2017-10-29 12:54:12,Image,4881,415
9,2017-10-27 04:19:04,Image,11742,207
10,2017-10-25 17:22:54,Image,8005,71
11,2017-09-26 01:08:21,Image,9727,224
12,2017-09-19 02:11:42,Image,10186,161
13,2017-09-10 20:35:45,Image,3586,34
14,2017-09-02 13:42:41,Image,9060,108
15,2017-07-29 22:54:19,Image,11281,248
16,2017-07-29 22:51:30,Video,2238,18
17,2017-07-15 16:34:19,Image,11488,280
18,2017-06-10 00:14:56,Image,5603,225
19,2017-06-02 14:12:23,Image,5461,90
20,2017-06-02 02:34:44,Image,11917,156
21,2017-06-01 16:05:57,Image,12526,469
22,2017-06-01 05:51:25,Image,10065,317
23,2017-05-31 23:41:29,Image,7011,373
24,2017-05-14 15:01:21,Image,5615,794
25,2017-05-03 22:08:22,Image,4386,146
26,2017-05-02 20:37:49,Image,4371,48
27,2017-05-02 16:46:23,Image,14563,179
28,2017-04-24 23:42:39,Image,10440,334
29,2017-04-22 03:57:11,Image,5762,60
30,2017-04-19 18:55:27,Image,9053,109
31,2017-04-17 01:53:12,Image,8657,117
32,2017-04-14 23:51:42,Image,3804,44
33,2017-04-14 21:42:25,Image,6995,71
34,2017-04-13 21:25:42,Video,5128,67
35,2017-04-12 22:52:14,Image,5039,43
36,2017-04-09 22:19:46,Image,5898,110
37,2017-04-01 22:13:52,Image,9596,91
38,2017-03-22 18:30:31,Image,7402,85
39,2017-03-15 14:30:51,Image,10819,137
40,2017-03-01 04:42:43,Image,6734,126
41,2017-02-22 22:18:51,Image,7695,74
42,2017-02-22 19:47:11,Image,3439,36
43,2017-02-19 16:56:52,Image,4193,24
44,2017-02-17 18:54:29,Image,3929,25
45,2017-02-16 20:25:59,Image,5932,58
46,2017-02-16 20:18:26,Image,4974,75
47,2017-02-10 00:20:35,Video,6004,144
48,2017-02-09 23:38:24,Video,5812,56
49,2017-02-09 15:00:10,Image,6316,53
50,2017-02-09 00:40:13,Image,6755,109
51,2017-01-30 03:10:42,Image,4110,49
52,2017-01-29 01:17:33,Video,4983,80
53,2017-01-18 03:21:42,Image,10488,95
54,2017-01-17 13:52:40,Video,3066,50
55,2017-01-17 03:37:46,Image,7629,48
56,2017-01-14 22:05:29,Image,3612,26
57,2017-01-12 23:09:20,Image,4147,21
58,2017-01-07 16:11:45,Image,8989,93
59,2017-01-07 16:10:52,Image,4410,23
60,2017-01-05 21:02:01,Image,8052,85
61,2016-12-30 18:30:59,Image,4238,142
62,2016-12-30 15:57:52,Image,3261,102
63,2016-12-29 22:55:20,Image,3379,38
64,2016-12-29 03:27:58,Image,6708,273
65,2016-12-24 15:05:14,Video,2686,87
66,2016-12-17 15:42:54,Image,9804,222
67,2016-12-15 16:54:33,Image,11939,67
68,2016-12-14 01:11:32,Image,8208,132
69,2016-12-07 00:23:29,Image,6361,125
70,2016-12-06 14:43:14,Image,3717,20
71,2016-12-06 14:41:03,Image,3713,36
72,2016-12-03 14:13:28,Image,2002,33
73,2016-12-02 01:31:32,Image,10898,108
74,2016-12-02 01:27:39,Image,2444,17
75,2016-11-24 17:14:36,Image,9573,93
76,2016-11-24 17:09:35,Image,3912,26
77,2016-11-24 14:16:27,Image,6447,78
78,2016-11-21 15:44:00,Image,3568,57
