,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-29 20:42:23,Image,3185,23
1,2018-03-27 18:40:13,Image,10364,163
2,2018-03-25 22:09:35,Image,19180,133
3,2018-03-21 15:35:15,Image,2250,21
4,2018-03-19 23:54:44,Image,6042,47
5,2018-03-17 17:54:26,Image,14613,102
6,2018-03-12 12:58:04,Image,8269,64
7,2018-03-05 21:36:48,Image,4057,32
8,2018-02-25 21:59:52,Image,4976,42
9,2018-02-22 12:39:29,Image,3697,17
10,2018-02-15 02:16:12,Image,8132,45
11,2018-02-11 16:08:50,Image,7205,153
12,2018-02-08 19:31:21,Image,3019,33
13,2018-02-01 17:02:57,Image,4271,29
14,2018-01-28 20:28:41,Image,3770,41
15,2018-01-27 13:20:57,Image,17167,42
16,2018-01-25 23:49:26,Image,4650,57
17,2018-01-23 02:11:10,Image,6429,40
18,2018-01-19 23:47:44,Image,6304,59
19,2018-01-15 23:15:33,Video,2166,38
20,2018-01-15 16:59:32,Video,2862,28
21,2018-01-12 17:32:35,Image,3095,30
22,2018-01-11 03:40:08,Video,2982,39
23,2018-01-10 02:09:59,Video,3507,41
24,2018-01-08 12:33:09,Image,4429,40
25,2018-01-02 21:57:07,Image,2711,17
26,2018-01-01 01:09:11,Image,2885,27
27,2017-12-19 14:10:17,Image,4849,54
28,2017-12-16 15:07:37,Image,3573,49
29,2017-12-12 15:48:06,Image,3658,31
30,2017-12-10 19:34:43,Image,3687,19
31,2017-12-05 17:07:09,Image,5295,49
32,2017-12-02 12:15:30,Image,7130,42
33,2017-11-30 12:46:17,Image,7579,56
34,2017-11-25 21:26:10,Image,3509,27
35,2017-11-23 22:28:02,Image,5518,28
36,2017-11-22 16:55:32,Image,4789,21
37,2017-11-15 00:18:46,Video,12705,130
38,2017-11-10 18:35:25,Image,3929,18
39,2017-10-28 15:44:50,Image,7033,58
40,2017-10-25 14:45:32,Video,3212,49
41,2017-10-18 18:14:30,Video,3306,43
42,2017-10-16 18:31:26,Image,5007,34
43,2017-10-14 17:01:01,Video,1825,27
44,2017-10-14 01:52:33,Image,6290,34
45,2017-10-09 22:53:36,Image,3127,20
