,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-28 14:27:07,Image,16633,94
1,2018-03-19 23:35:04,Image,22676,206
2,2018-03-10 18:34:25,Image,22015,94
3,2018-03-04 17:09:46,Image,13483,312
4,2018-02-18 13:50:19,Image,26320,205
5,2018-02-04 16:59:33,Image,24373,105
6,2018-02-01 17:25:49,Image,18834,126
7,2018-01-21 18:11:51,Image,14330,105
8,2018-01-15 13:54:52,Image,10347,43
9,2018-01-10 00:27:10,Image,14642,167
10,2018-01-08 20:25:01,Image,11090,61
11,2018-01-04 20:07:03,Image,12473,85
12,2017-12-25 11:39:55,Image,9751,71
13,2017-12-20 14:08:50,Image,24320,96
14,2017-12-17 17:43:10,Image,11506,76
15,2017-12-14 16:27:53,Image,13909,124
16,2017-12-10 19:45:07,Image,5493,20
17,2017-12-02 01:07:01,Image,21066,227
18,2017-11-20 16:10:06,Image,12332,104
19,2017-11-14 22:41:34,Image,23022,128
20,2017-11-02 16:10:00,Image,12518,73
21,2017-10-17 15:21:31,Image,17987,136
22,2017-10-06 13:10:16,Image,12222,217
23,2017-09-28 18:58:50,Image,13095,67
24,2017-09-21 14:09:40,Image,13319,119
25,2017-09-09 18:56:52,Video,7635,51
26,2017-08-26 20:44:44,Image,15753,76
27,2017-08-24 20:12:49,Image,10595,178
28,2017-08-11 16:28:36,Image,14794,103
29,2017-07-27 18:59:40,Image,14562,96
30,2017-07-18 14:41:45,Image,25790,794
31,2017-07-13 17:20:52,Image,17051,202
32,2017-07-03 21:27:23,Image,29209,557
33,2017-06-25 16:46:39,Video,18817,694
34,2017-06-22 22:45:28,Image,32581,1607
35,2017-05-30 18:58:23,Image,10163,81
36,2017-05-14 13:17:21,Image,10853,56
37,2017-05-08 19:03:34,Image,13548,97
38,2017-05-06 15:22:13,Image,12694,88
39,2017-04-28 21:59:12,Image,13175,71
40,2017-04-25 12:29:03,Image,6969,97
41,2017-04-16 14:04:29,Image,9985,74
42,2017-04-05 11:14:58,Image,13709,356
43,2017-03-12 18:48:55,Image,12662,260
44,2017-02-25 19:06:06,Image,9744,117
45,2017-02-14 23:29:12,Image,8322,83
46,2017-02-11 17:42:05,Image,7471,47
47,2017-02-07 17:04:28,Image,8000,61
48,2017-02-01 14:54:09,Image,5531,34
49,2017-01-26 19:40:53,Image,5362,64
50,2017-01-25 19:15:11,Image,6584,52
51,2017-01-21 22:41:12,Image,7169,46
52,2017-01-20 23:07:57,Video,3590,100
53,2017-01-20 13:05:33,Image,3918,39
54,2017-01-14 20:31:40,Image,7213,51
55,2017-01-10 23:51:27,Image,8650,45
56,2017-01-04 12:39:50,Video,965,10
57,2017-01-04 00:44:53,Image,8370,67
58,2016-12-25 16:31:34,Image,5754,37
59,2016-12-17 21:45:00,Image,8055,88
60,2016-12-14 19:35:25,Image,4721,60
61,2016-12-07 17:31:46,Image,6234,49
62,2016-12-06 13:08:58,Image,2698,26
63,2016-12-03 10:25:30,Image,5708,49
64,2016-11-29 10:31:13,Image,6156,41
65,2016-11-24 14:45:45,Image,1765,13
66,2016-11-21 15:47:52,Image,5960,44
67,2016-10-23 20:00:49,Image,5432,43
68,2016-10-16 13:52:43,Image,1658,6
69,2016-10-14 09:43:18,Image,2416,30
70,2016-10-11 15:25:30,Image,5822,65
71,2016-10-08 19:50:08,Image,3466,21
72,2016-09-27 08:46:43,Image,1122,15
73,2016-09-19 14:29:17,Image,3648,44
74,2016-08-26 23:18:50,Image,1876,11
75,2016-08-24 17:28:49,Image,1286,15
76,2016-08-21 18:59:02,Image,1210,5
77,2016-08-12 19:43:34,Video,1002,14
78,2016-08-10 19:35:57,Image,1248,6
79,2016-08-04 11:37:33,Image,1645,18
80,2016-07-22 09:53:51,Image,1640,31
81,2016-07-18 09:16:19,Image,2042,101
82,2016-07-07 09:13:49,Image,1595,20
83,2016-07-06 16:34:04,Image,1821,28
84,2016-07-01 20:35:14,Image,2396,5
85,2016-06-30 07:48:44,Image,1451,12
86,2016-06-26 17:04:43,Image,2423,10
87,2016-06-25 12:00:49,Video,4552,362
88,2016-06-24 15:49:51,Image,1843,8
89,2016-06-22 12:54:11,Image,1174,16
90,2016-06-15 22:35:05,Image,1255,8
91,2016-06-05 12:00:55,Video,2603,68
92,2016-05-28 22:50:15,Image,2553,38
93,2016-05-28 00:02:33,Image,1197,14
94,2016-05-25 17:58:47,Image,2148,37
95,2016-05-24 12:19:08,Image,869,9
96,2016-05-19 16:01:44,Image,1756,15
97,2016-05-18 09:14:38,Image,1059,11
98,2016-05-15 16:48:58,Video,4260,152
99,2016-05-14 14:07:28,Image,1793,25
100,2016-05-13 10:30:45,Image,1688,11
101,2016-05-08 10:24:45,Image,2278,16
102,2016-05-07 22:18:45,Video,2510,36
103,2016-05-05 15:15:36,Image,1235,14
104,2016-05-02 15:19:17,Image,1163,14
105,2016-04-30 11:16:01,Image,1264,23
106,2016-04-26 19:23:53,Image,1042,8
107,2016-04-23 18:26:50,Video,1633,29
108,2016-04-23 15:51:05,Image,1503,19
109,2016-04-19 18:01:40,Video,1746,52
110,2016-04-16 20:49:20,Image,2360,12
111,2016-04-14 09:19:34,Image,1552,6
112,2016-04-12 08:19:50,Image,2151,32
113,2016-04-10 16:54:34,Image,2162,31
114,2016-04-02 18:27:02,Image,1875,19
115,2016-03-31 17:45:17,Image,1765,14
116,2016-03-29 21:32:53,Image,2882,50
117,2016-03-26 10:54:22,Image,2003,22
118,2016-03-25 10:21:05,Image,998,9
119,2016-03-19 21:32:26,Image,1367,32
120,2016-03-18 10:03:47,Image,1835,29
121,2016-03-15 08:27:39,Image,831,9
122,2016-03-11 19:31:14,Image,1680,16
123,2016-03-08 17:52:12,Image,1285,12
124,2016-03-05 17:38:24,Image,2329,26
125,2016-03-04 18:44:19,Image,1337,14
126,2016-03-02 08:49:48,Image,902,12
127,2016-02-29 18:36:48,Video,2262,284
128,2016-02-29 07:58:27,Image,1912,14
129,2016-02-25 19:32:16,Image,1654,7
130,2016-02-24 16:15:56,Image,1336,9
131,2016-02-22 19:57:21,Video,2539,353
132,2016-02-22 17:16:35,Image,1049,12
133,2016-02-21 13:21:33,Image,789,14
134,2016-02-20 23:00:10,Image,1212,10
135,2016-02-20 12:30:46,Image,1371,11
136,2016-02-19 09:05:00,Image,1187,9
137,2016-02-18 08:49:05,Image,1168,10
138,2016-02-15 16:17:09,Image,1236,5
139,2016-02-12 19:19:27,Image,1568,19
140,2016-02-11 08:41:51,Image,1536,30
141,2016-02-10 18:45:04,Image,1906,19
142,2016-02-09 08:49:20,Image,1155,9
143,2016-02-06 21:22:12,Video,1513,31
144,2016-02-05 08:50:33,Image,1223,16
145,2016-02-04 22:13:10,Image,985,3
146,2016-02-02 08:32:48,Image,1259,10
147,2016-01-30 12:47:03,Image,1270,5
148,2016-01-29 08:57:12,Image,1377,7
149,2016-01-27 19:02:46,Image,758,15
150,2016-01-26 09:15:03,Image,1321,16
151,2016-01-24 20:52:38,Image,849,11
152,2016-01-24 00:33:31,Image,1482,15
153,2016-01-23 15:18:49,Video,2125,83
154,2016-01-21 10:26:06,Image,1627,16
155,2016-01-19 15:28:38,Image,1548,17
156,2016-01-18 14:11:50,Image,1451,23
157,2016-01-17 23:41:21,Image,1764,28
158,2016-01-17 18:36:44,Image,1319,12
159,2016-01-16 20:40:48,Video,2071,191
160,2016-01-16 10:47:07,Image,1354,7
161,2016-01-15 08:37:58,Image,1457,15
162,2016-01-13 23:44:47,Image,1232,38
163,2016-01-12 08:11:51,Image,1291,13
164,2016-01-11 20:12:16,Image,649,11
165,2016-01-09 19:25:20,Image,1432,22
166,2016-01-08 08:41:00,Image,1434,26
167,2016-01-07 23:31:46,Image,603,7
168,2016-01-07 18:57:57,Image,1173,9
169,2016-01-06 14:25:30,Image,598,7
170,2016-01-05 08:54:01,Image,1303,10
171,2016-01-04 12:56:38,Image,1222,7
172,2016-01-03 19:05:55,Image,1789,45
173,2016-01-02 13:58:41,Image,1122,13
174,2016-01-02 00:30:00,Video,2485,143
175,2016-01-01 14:07:41,Image,1358,22
176,2015-12-31 00:29:39,Image,1614,23
177,2015-12-30 14:47:47,Image,1443,12
178,2015-12-29 15:46:56,Image,1240,12
179,2015-12-28 13:08:00,Image,728,8
180,2015-12-26 16:07:41,Image,1201,3
181,2015-12-25 12:51:48,Image,1228,10
182,2015-12-24 22:10:31,Image,1348,10
183,2015-12-23 14:34:39,Image,1229,12
184,2015-12-22 15:10:18,Video,1168,37
185,2015-12-21 13:05:36,Image,1085,11
186,2015-12-19 20:56:02,Video,1554,41
187,2015-12-19 13:16:16,Image,1111,10
188,2015-12-18 13:04:39,Image,753,5
189,2015-12-11 08:45:45,Image,1284,12
190,2015-12-09 15:54:19,Image,1287,31
191,2015-12-08 08:52:07,Image,1213,8
192,2015-12-06 22:48:40,Video,1331,37
193,2015-12-06 11:32:57,Image,1409,10
194,2015-12-04 08:23:33,Image,1869,26
195,2015-12-02 20:29:46,Video,1312,30
196,2015-11-29 10:34:42,Image,1530,19
197,2015-11-25 13:16:20,Image,1148,10
198,2015-11-24 19:39:47,Video,958,13
199,2015-11-22 15:58:58,Image,1326,9
200,2015-11-21 11:52:07,Image,1131,9
201,2015-11-18 19:34:34,Image,1608,46
202,2015-11-17 23:34:19,Image,2435,67
203,2015-11-17 11:15:09,Image,2511,264
204,2015-11-17 09:21:32,Video,769,73
205,2015-11-15 19:48:54,Image,851,76
206,2015-11-04 18:52:51,Image,669,9
207,2015-11-02 11:40:57,Video,1380,97
208,2015-11-01 12:38:22,Image,1478,72
209,2015-10-29 20:25:47,Image,657,5
210,2015-10-27 19:19:36,Image,788,41
211,2015-10-25 18:46:44,Image,849,13
212,2015-10-23 23:48:45,Image,747,15
213,2015-10-21 19:12:30,Image,937,29
214,2015-10-19 20:33:24,Image,743,15
215,2015-10-18 16:58:54,Image,680,4
216,2015-10-15 17:13:30,Image,985,23
217,2015-10-15 13:26:49,Image,402,11
218,2015-10-14 13:35:58,Image,867,17
219,2015-10-13 23:28:31,Image,935,15
220,2015-10-12 16:25:14,Image,1114,64
221,2015-10-10 20:46:48,Image,555,7
222,2015-10-08 22:34:44,Image,789,4
223,2015-10-04 10:58:40,Image,415,16
224,2015-09-26 19:54:06,Image,953,15
225,2015-09-24 21:57:39,Image,617,9
226,2015-09-23 19:11:26,Video,757,16
227,2015-09-23 09:06:58,Image,546,8
228,2015-09-22 09:29:34,Image,779,25
229,2015-09-21 18:04:40,Image,538,5
