,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-30 23:07:19,Image,107146,890
1,2018-03-28 22:44:07,Image,201204,1104
2,2018-03-27 22:46:37,Image,169907,1016
3,2018-03-26 22:58:45,Image,380953,3622
4,2018-03-25 22:28:02,Image,211729,1000
5,2018-03-24 23:05:50,Image,181427,1222
6,2018-03-23 21:10:34,Image,200450,805
7,2018-03-22 22:16:55,Image,198176,754
8,2018-03-21 23:13:26,Image,318328,7065
9,2018-03-20 15:09:57,Image,190688,1119
10,2018-03-20 10:44:36,Image,116957,563
11,2018-03-19 16:16:10,Image,227207,1168
12,2018-03-17 00:30:51,Image,172011,763
13,2018-03-15 23:04:13,Image,112211,673
14,2018-03-15 12:25:35,Image,124262,627
15,2018-03-12 21:26:45,Image,230502,1502
16,2018-03-10 22:00:34,Image,122694,491
17,2018-03-07 22:04:26,Image,136558,425
18,2018-03-07 12:46:46,Image,231988,1350
19,2018-03-03 20:59:04,Image,191453,780
20,2018-03-02 14:52:09,Image,186474,1396
21,2018-03-02 14:32:55,Image,192849,1006
22,2018-03-02 01:41:56,Image,248633,1173
23,2018-02-28 12:38:16,Image,155105,840
24,2018-02-19 20:37:06,Image,99433,565
25,2018-02-18 13:53:54,Image,208048,1756
26,2018-02-17 17:23:59,Image,60212,265
27,2018-02-15 23:23:34,Image,117673,760
28,2018-02-15 19:31:37,Image,312073,2282
29,2018-02-13 19:49:51,Image,101335,580
30,2018-02-11 14:14:52,Image,133451,728
31,2018-02-10 23:28:31,Image,175368,1018
32,2018-02-09 23:14:31,Image,168306,838
33,2018-02-07 11:47:09,Image,181406,1156
34,2018-02-01 13:00:22,Image,128397,904
35,2018-01-30 22:44:26,Image,204110,2361
36,2018-01-25 15:33:51,Image,105819,891
37,2018-01-25 00:47:49,Image,225633,1935
38,2018-01-23 17:03:03,Image,105011,704
39,2018-01-19 20:05:45,Image,227763,2131
40,2018-01-14 20:57:38,Image,172484,1369
41,2018-01-12 23:00:31,Image,112853,687
42,2018-01-10 16:31:03,Image,156785,1605
43,2018-01-10 08:10:23,Image,121732,670
44,2018-01-08 20:14:52,Image,188051,867
45,2018-01-04 15:11:26,Image,186002,1018
46,2018-01-02 21:43:31,Video,103761,927
47,2017-12-31 01:54:14,Image,162468,628
48,2017-12-31 01:16:17,Image,134624,1473
49,2017-12-29 21:46:39,Image,154204,1408
50,2017-12-27 10:02:24,Image,247025,1757
51,2017-12-25 16:58:46,Image,202096,1119
52,2017-12-24 19:53:51,Image,83508,438
53,2017-12-18 17:36:10,Image,168194,1104
54,2017-12-14 12:34:28,Image,102757,724
55,2017-12-12 16:49:09,Image,130613,725
56,2017-12-10 14:29:38,Image,131321,729
57,2017-12-08 21:18:54,Image,89880,487
58,2017-12-08 21:13:39,Image,136307,669
59,2017-12-05 16:11:52,Image,155882,930
60,2017-12-01 14:35:32,Image,158824,615
61,2017-11-30 01:50:16,Image,171478,929
62,2017-11-26 16:53:35,Image,170210,1082
63,2017-11-23 00:09:11,Image,141226,749
64,2017-11-21 02:30:54,Image,150444,540
65,2017-11-21 00:52:37,Image,120386,282
66,2017-11-19 22:07:46,Image,197837,895
