,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-29 01:07:06,Image,2380,20
1,2018-03-27 23:40:14,Image,3945,36
2,2018-03-26 00:54:34,Image,4014,34
3,2018-03-21 01:50:06,Image,5575,119
4,2018-03-19 01:42:41,Image,4358,71
5,2018-03-18 01:03:57,Image,3779,37
6,2018-03-16 01:52:27,Image,4807,66
7,2018-03-13 01:02:09,Image,3268,40
8,2018-03-10 02:07:04,Image,4268,44
9,2018-03-07 02:12:30,Image,5391,179
10,2018-03-04 01:47:45,Image,3630,29
11,2018-03-02 02:21:08,Image,3395,24
12,2018-02-28 01:29:03,Image,2311,13
13,2018-02-25 00:37:55,Image,2609,18
14,2018-02-24 00:33:13,Image,2871,11
15,2018-02-15 02:13:49,Image,4250,38
16,2018-02-10 02:01:40,Image,3151,30
17,2018-02-09 01:49:55,Image,2948,8
18,2018-02-01 01:43:34,Image,3022,17
19,2018-01-31 02:09:09,Image,2853,16
20,2018-01-27 00:38:05,Image,2096,9
21,2018-01-25 01:52:05,Image,3033,30
22,2018-01-21 01:40:21,Image,2864,24
23,2018-01-19 01:51:39,Image,2728,17
24,2018-01-17 01:56:19,Image,2364,17
25,2018-01-10 00:02:31,Image,2872,28
26,2018-01-08 01:01:17,Image,3071,12
27,2018-01-06 02:14:59,Image,2412,13
28,2018-01-02 00:15:05,Image,2791,43
29,2017-12-29 03:45:39,Image,2565,32
30,2017-12-24 01:02:20,Image,2051,24
31,2017-12-16 22:42:59,Image,2366,40
32,2017-12-15 22:30:50,Image,1500,12
33,2017-12-13 23:14:40,Image,2845,37
34,2017-12-08 19:41:27,Image,248,8
35,2017-11-28 00:46:43,Image,1126,14
36,2017-11-24 15:50:06,Image,1551,15
37,2017-11-20 23:50:38,Image,2118,15
38,2017-11-19 01:36:17,Video,644,23
39,2017-11-16 02:47:56,Image,2262,19
40,2017-11-14 01:40:37,Image,2385,24
41,2017-11-03 01:53:53,Image,3517,57
42,2017-10-29 01:12:57,Image,1656,8
43,2017-10-25 01:33:59,Image,1937,18
44,2017-10-20 21:30:45,Image,3031,38
45,2017-10-19 00:37:50,Image,2344,17
46,2017-10-14 00:40:46,Image,1741,28
47,2017-10-12 01:17:04,Image,1818,22
48,2017-09-26 18:23:10,Image,1500,22
49,2017-09-05 18:41:28,Image,1100,36
50,2017-08-26 15:43:54,Image,743,10
51,2017-08-25 18:04:39,Image,670,11
