,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-29 19:51:59,Image,84307,207
1,2018-03-28 14:24:20,Image,197446,8009
2,2018-03-28 00:39:07,Image,163506,498
3,2018-03-27 16:23:48,Image,35826,78
4,2018-03-25 16:18:15,Image,21629,70
5,2018-03-24 12:34:43,Image,150978,1036
6,2018-03-21 02:21:22,Image,169151,1098
7,2018-03-18 13:50:58,Image,198784,951
8,2018-03-16 16:22:09,Video,60291,145
9,2018-03-13 15:04:00,Video,33503,157
10,2018-03-10 19:13:13,Video,15873,118
11,2018-03-07 14:02:19,Image,24717,119
12,2018-03-07 13:27:03,Image,36812,69
13,2018-03-07 01:21:38,Image,195084,1210
14,2018-03-05 21:05:01,Video,26113,84
15,2018-03-05 12:41:30,Image,50911,76
16,2018-03-04 22:08:23,Image,86254,377
17,2018-03-02 19:30:39,Image,104538,478
18,2018-03-01 22:26:07,Image,89306,229
19,2018-03-01 17:40:47,Image,64887,180
20,2018-02-28 19:12:15,Image,97607,513
21,2018-02-27 01:39:23,Video,241849,2369
22,2018-02-26 12:12:02,Image,69482,230
23,2018-02-24 16:29:59,Video,18601,81
24,2018-02-24 01:30:11,Image,152335,663
25,2018-02-17 17:16:19,Image,41615,125
26,2018-02-16 23:20:59,Image,90680,255
27,2018-02-16 19:15:36,Image,29090,85
28,2018-02-15 21:35:29,Image,57282,142
29,2018-02-14 00:13:50,Image,118728,299
30,2018-02-12 00:23:03,Image,144849,472
31,2018-02-11 14:54:16,Image,173220,438
32,2018-02-08 15:19:14,Image,203184,1023
33,2018-02-04 01:14:26,Image,246119,1672
34,2018-02-01 14:52:41,Image,16674,96
35,2018-01-31 00:47:39,Image,208391,1020
36,2018-01-30 17:38:26,Image,98323,374
37,2018-01-27 20:19:15,Image,220627,442
38,2018-01-27 11:09:33,Image,85218,263
39,2018-01-25 13:18:53,Image,127805,316
40,2018-01-24 13:28:23,Video,105390,978
41,2018-01-24 10:52:01,Image,187424,396
42,2018-01-23 01:35:31,Image,297272,1632
43,2018-01-21 15:35:21,Image,127325,507
44,2018-01-19 09:46:20,Image,170504,541
45,2018-01-17 20:36:23,Image,175322,540
46,2018-01-16 18:22:07,Video,44435,385
47,2018-01-15 13:14:20,Image,77962,825
48,2018-01-13 14:11:30,Image,124699,292
49,2018-01-13 13:53:38,Video,134057,943
50,2018-01-11 15:01:25,Image,228415,1848
51,2018-01-03 10:52:08,Image,57417,417
52,2018-01-01 01:49:52,Image,123337,538
53,2017-12-30 18:02:09,Image,231377,683
54,2017-12-27 13:08:39,Video,94707,2218
55,2017-12-24 20:01:31,Image,116551,1173
56,2017-12-24 13:38:37,Video,52104,773
57,2017-12-23 13:56:29,Video,38505,253
58,2017-12-19 16:51:04,Video,22898,478
59,2017-12-19 00:50:28,Image,311560,896
60,2017-12-19 00:20:11,Image,217445,1495
61,2017-12-17 18:50:17,Image,156335,927
62,2017-12-17 02:14:14,Image,35106,371
63,2017-12-13 14:12:48,Image,158681,1352
64,2017-12-10 15:34:39,Image,215062,1446
65,2017-12-08 14:28:26,Image,114010,1032
66,2017-12-05 20:13:50,Video,73967,914
67,2017-12-04 19:20:20,Image,75677,479
68,2017-12-02 12:58:11,Image,118264,680
69,2017-11-30 18:20:34,Image,94512,568
70,2017-11-28 01:12:41,Image,107796,370
71,2017-11-24 19:21:13,Image,86898,350
72,2017-11-23 01:42:34,Image,223791,1263
73,2017-11-23 01:16:09,Video,53728,281
74,2017-11-19 20:56:26,Image,94364,311
75,2017-11-17 10:55:16,Image,185612,701
76,2017-11-13 13:02:13,Image,22167,246
77,2017-11-12 15:01:47,Video,54682,487
78,2017-11-11 23:45:15,Video,84295,297
79,2017-11-11 17:42:27,Video,46382,518
80,2017-11-08 12:04:47,Video,25463,321
81,2017-11-05 23:51:12,Image,96467,448
82,2017-11-04 10:31:40,Image,44025,190
83,2017-11-02 00:32:04,Image,195021,1273
84,2017-10-31 16:47:40,Video,36238,205
85,2017-10-31 13:25:23,Image,117785,260
86,2017-10-29 18:40:31,Image,28991,120
87,2017-10-26 15:24:27,Video,18460,217
88,2017-10-25 12:17:23,Image,63980,151
89,2017-10-24 14:52:12,Video,34671,218
90,2017-10-22 16:38:38,Video,121181,395
91,2017-10-18 19:21:17,Video,49635,408
92,2017-10-18 18:38:03,Video,112202,827
93,2017-10-06 00:35:15,Image,70210,844
94,2017-10-03 18:49:49,Image,55725,375
95,2017-10-03 15:21:07,Image,71765,231
96,2017-10-02 08:42:43,Image,108050,404
97,2017-10-01 20:19:35,Image,95897,161
98,2017-09-26 10:26:02,Image,105091,418
99,2017-09-25 19:47:11,Image,236264,1405
100,2017-09-22 11:16:54,Video,32606,293
101,2017-09-16 18:18:58,Image,44057,367
102,2017-09-15 17:05:24,Image,121544,234
103,2017-09-12 12:17:41,Image,75688,306
104,2017-09-11 20:29:12,Image,110525,295
105,2017-09-10 18:43:54,Image,118548,580
106,2017-09-08 19:02:08,Image,78499,261
107,2017-09-03 23:41:01,Image,179056,516
108,2017-08-27 13:52:26,Image,79643,815
109,2017-08-26 17:40:39,Image,164059,373
110,2017-08-24 11:13:59,Image,69713,364
111,2017-08-19 18:39:30,Image,139495,633
112,2017-08-19 11:23:24,Video,145275,941
113,2017-08-17 09:12:50,Image,164922,688
114,2017-08-16 19:33:45,Image,33471,193
115,2017-08-15 19:52:03,Image,26985,114
116,2017-08-13 15:27:37,Image,86958,380
117,2017-08-11 15:16:37,Image,134501,272
118,2017-08-11 15:13:00,Image,59845,106
119,2017-08-05 16:08:09,Image,72902,308
120,2017-08-04 20:19:33,Image,114706,264
121,2017-08-04 16:59:01,Image,126990,484
