,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-27 10:55:39,Image,4099,37
1,2018-03-21 10:37:06,Image,6697,33
2,2018-03-20 10:11:01,Image,3974,39
3,2018-03-18 18:48:28,Image,5104,19
4,2018-03-16 12:01:59,Image,5975,75
5,2018-03-01 12:31:19,Image,4817,26
6,2018-02-15 13:27:27,Image,6429,66
7,2018-02-05 15:40:02,Image,3475,44
8,2018-02-02 17:36:33,Image,3188,30
9,2018-01-22 16:42:09,Image,4170,40
10,2018-01-16 21:48:42,Image,5892,49
11,2018-01-11 12:15:48,Image,3380,25
12,2018-01-10 13:10:11,Video,2914,36
13,2018-01-06 17:03:22,Image,4828,47
14,2018-01-03 20:58:38,Image,4753,24
15,2017-12-28 15:05:43,Image,4127,20
16,2017-12-22 18:23:48,Image,2738,20
17,2017-12-17 22:15:25,Image,3357,19
18,2017-12-16 00:50:07,Image,5110,30
19,2017-12-10 13:23:27,Image,6212,97
20,2017-12-05 12:12:48,Image,3977,104
21,2017-11-28 18:27:30,Image,6522,21
22,2017-11-23 15:14:05,Image,5284,20
23,2017-11-22 14:09:08,Image,4829,31
24,2017-11-16 20:04:14,Image,470,7
25,2017-11-14 19:54:40,Image,3477,1
26,2017-10-29 14:58:52,Image,4540,48
27,2017-10-16 19:55:38,Image,4285,70
28,2017-10-16 16:08:32,Image,4336,46
29,2017-10-05 15:00:08,Image,4490,59
30,2017-09-30 18:22:41,Image,4159,28
31,2017-09-24 19:01:29,Image,3884,11
32,2017-09-22 12:17:14,Image,3072,20
33,2017-08-31 13:19:30,Video,1595,13
34,2017-08-30 20:01:34,Image,2908,17
35,2017-08-29 23:38:10,Image,1965,19
36,2017-08-22 20:31:55,Image,3930,23
37,2017-08-02 17:14:08,Image,1643,16
38,2017-07-31 02:30:11,Image,3781,25
39,2017-07-27 16:27:58,Image,4752,25
40,2017-07-24 15:49:18,Image,3825,5
41,2017-07-04 14:16:07,Image,4618,19
42,2017-06-24 13:25:20,Image,4423,18
43,2017-06-18 18:21:06,Image,1889,7
44,2017-06-08 16:24:22,Image,3814,17
45,2017-06-05 16:25:00,Image,3209,15
46,2017-05-15 23:36:25,Image,4254,18
47,2017-05-10 11:11:43,Image,5027,13
48,2017-05-03 12:05:09,Image,6116,21
49,2017-04-28 11:10:40,Image,7577,64
50,2017-04-26 18:05:58,Image,6534,34
51,2017-04-24 17:21:40,Image,4752,27
52,2017-04-23 11:44:23,Image,4367,29
53,2017-04-23 00:15:57,Image,8094,142
54,2017-04-21 12:05:41,Image,3700,37
55,2017-04-19 19:46:57,Video,1904,21
56,2017-04-13 10:50:28,Image,3439,17
57,2017-04-10 12:47:51,Image,12667,71
58,2017-03-30 19:01:52,Image,5596,16
59,2017-03-28 21:15:29,Image,4187,11
60,2017-03-17 22:40:37,Image,4321,21
61,2017-03-06 00:42:47,Image,5983,20
62,2017-02-25 20:49:57,Image,2639,28
63,2017-02-14 00:26:17,Image,2729,19
64,2017-01-25 01:07:44,Image,3486,42
65,2017-01-16 23:24:03,Image,4538,32
66,2017-01-07 19:22:25,Image,5763,35
67,2016-12-31 00:25:15,Video,2092,31
68,2016-12-21 23:57:25,Image,5560,40
69,2016-12-19 19:16:38,Image,2975,16
70,2016-12-12 14:47:27,Image,5322,28
71,2016-12-07 03:05:05,Image,3336,22
72,2016-12-02 20:46:00,Image,4546,25
73,2016-11-24 21:10:21,Image,4509,43
74,2016-11-22 19:41:18,Image,9312,77
75,2016-11-19 00:55:37,Image,3624,7
76,2016-11-17 13:30:00,Image,5160,25
77,2016-11-15 14:26:51,Image,3392,24
78,2016-11-10 11:55:14,Image,3026,30
79,2016-11-09 01:59:23,Image,4018,23
80,2016-10-30 23:48:50,Image,5554,49
81,2016-10-27 14:33:58,Image,3620,50
82,2016-10-27 12:47:07,Image,5167,33
83,2016-10-21 23:03:42,Video,1427,7
84,2016-10-16 11:55:26,Image,6307,62
85,2016-10-10 19:07:34,Image,4722,29
86,2016-10-04 11:28:18,Image,3626,27
87,2016-10-02 22:14:33,Image,3929,22
88,2016-09-30 22:47:00,Image,1926,3
89,2016-09-26 19:41:27,Image,4818,67
90,2016-09-18 12:34:27,Image,3322,34
91,2016-09-05 14:15:13,Image,3102,11
92,2016-08-28 22:07:36,Image,4542,25
93,2016-08-24 21:50:54,Image,2966,27
94,2016-07-23 23:09:44,Image,3408,45
95,2016-07-22 15:56:56,Video,2588,37
96,2016-07-19 02:06:51,Image,4799,20
97,2016-07-16 13:50:28,Image,4604,35
98,2016-07-10 16:10:22,Image,6005,71
99,2016-07-05 23:11:01,Image,2135,28
100,2016-06-27 10:37:29,Image,2581,20
101,2016-06-22 20:03:18,Image,930,3
102,2016-06-19 01:40:30,Image,3777,14
103,2016-06-14 15:19:03,Image,2894,12
104,2016-06-14 15:15:13,Image,3021,13
105,2016-06-07 16:45:56,Image,2707,13
106,2016-06-04 00:38:50,Image,10545,41
107,2016-05-20 23:36:59,Image,4959,48
108,2016-04-19 12:32:30,Image,1958,8
109,2016-04-16 12:09:07,Image,2578,21
110,2016-04-12 19:30:48,Image,3927,43
111,2016-04-01 18:33:22,Image,3148,53
112,2016-03-07 04:36:45,Image,2975,37
113,2016-02-13 15:40:46,Image,3824,26
114,2016-01-21 19:00:04,Image,3664,13
115,2016-01-17 17:29:09,Image,4585,34
116,2016-01-16 00:54:34,Image,3058,25
117,2016-01-10 03:38:53,Video,2112,17
118,2015-12-20 20:31:14,Image,5969,77
119,2015-11-19 04:38:58,Image,4996,23
120,2015-10-31 22:35:40,Image,4535,32
121,2015-10-27 11:42:04,Image,2988,55
122,2015-10-21 11:58:58,Image,5328,40
123,2015-10-12 19:31:23,Image,5057,57
124,2015-10-07 16:49:50,Image,5782,41
125,2015-10-01 13:27:24,Image,4237,21
126,2015-09-30 10:48:43,Image,2652,13
127,2015-09-15 13:47:56,Image,6852,88
128,2015-09-14 23:11:48,Image,8629,93
129,2015-09-12 13:58:12,Image,4010,24
130,2015-09-12 00:08:55,Image,7786,34
131,2015-09-04 22:00:11,Image,9167,88
132,2015-09-03 22:45:49,Image,4117,10
133,2015-09-03 15:53:24,Image,3895,22
134,2015-08-23 21:00:27,Image,6248,61
135,2015-08-19 14:48:50,Image,4170,13
136,2015-08-14 14:14:43,Image,7841,149
137,2015-08-11 02:51:42,Image,4878,25
138,2015-07-27 23:48:49,Image,6724,39
139,2015-07-26 21:07:51,Image,11684,107
140,2015-07-22 01:05:37,Image,6310,61
141,2015-07-05 17:48:00,Image,13875,171
142,2015-06-29 16:53:50,Image,6762,104
143,2015-06-28 23:00:46,Image,7564,45
144,2015-06-21 19:11:30,Image,7726,154
145,2015-06-18 20:08:46,Image,9696,110
146,2015-06-08 17:10:22,Image,7748,162
147,2015-06-07 11:43:08,Image,6677,45
148,2015-06-04 17:43:35,Image,4321,87
149,2015-05-30 00:02:57,Image,8316,92
150,2015-05-10 14:51:05,Image,5372,30
151,2015-05-10 00:47:52,Image,8359,89
152,2015-05-09 21:43:24,Image,9218,38
153,2015-05-04 20:35:38,Image,7479,52
154,2015-05-03 18:48:13,Image,10344,111
155,2015-05-03 15:41:12,Image,5334,43
156,2015-05-02 14:35:11,Image,10474,158
157,2015-05-01 23:54:31,Image,10338,93
158,2015-04-30 20:11:10,Image,12944,224
159,2015-04-30 13:43:01,Image,9378,75
160,2015-04-26 11:45:28,Image,6604,138
161,2015-04-25 15:55:59,Image,8978,115
162,2015-04-20 10:17:45,Image,8133,97
163,2015-04-19 20:59:11,Image,7032,224
164,2015-04-18 23:55:49,Image,11528,172
165,2015-04-18 03:12:21,Image,11837,216
166,2015-04-13 11:35:00,Image,13782,173
167,2015-04-12 13:49:30,Image,20316,423
168,2015-04-10 12:38:50,Image,15603,269
