,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-28 15:21:10,Video,72268,523
1,2018-03-28 11:47:07,Image,542494,4072
2,2018-03-28 00:57:56,Image,223422,901
3,2018-03-26 09:49:45,Image,68527,267
4,2018-03-24 11:07:45,Image,254347,1449
5,2018-03-24 00:06:39,Image,420953,3459
6,2018-03-22 20:40:23,Image,27432,206
7,2018-03-21 12:27:18,Image,205055,632
8,2018-03-17 18:28:21,Image,347180,1371
9,2018-03-16 15:19:36,Image,28229,163
10,2018-03-15 19:35:59,Image,230223,697
11,2018-03-15 01:40:51,Video,277940,5384
12,2018-03-11 01:04:52,Image,301773,1842
13,2018-03-09 14:29:32,Image,35029,383
14,2018-03-09 02:53:27,Image,274270,921
15,2018-03-08 14:19:45,Image,88756,270
16,2018-03-06 18:26:34,Video,112552,1437
17,2018-03-02 02:20:35,Video,369169,4548
18,2018-02-28 00:40:35,Image,532018,6413
19,2018-02-26 00:05:45,Image,165053,891
20,2018-02-22 20:29:07,Image,111955,455
21,2018-02-21 00:44:53,Image,454686,2691
22,2018-02-20 21:06:19,Image,112223,335
23,2018-02-20 17:08:27,Image,205831,1711
24,2018-02-19 16:28:20,Image,166560,621
25,2018-02-18 21:38:08,Image,80416,329
26,2018-02-16 20:31:51,Video,180991,1743
27,2018-02-16 16:13:31,Image,56733,457
28,2018-02-16 12:58:53,Image,67482,156
29,2018-02-15 20:47:00,Image,103870,227
30,2018-02-14 11:48:34,Image,296556,1123
31,2018-02-12 21:45:19,Image,290913,1024
32,2018-02-12 16:19:38,Video,44071,316
33,2018-02-10 23:01:38,Image,373627,2435
34,2018-02-10 11:22:05,Image,585343,3518
35,2018-02-10 11:14:41,Image,397905,2681
36,2018-02-08 23:43:11,Video,497484,17492
37,2018-02-07 11:43:33,Image,145352,5539
38,2018-02-05 08:17:11,Video,173447,1982
39,2018-02-04 13:38:25,Image,315731,1624
40,2018-01-31 16:11:52,Image,322221,2117
41,2018-01-27 16:32:15,Image,414945,6017
42,2018-01-24 00:39:26,Image,475657,2456
43,2018-01-19 01:18:44,Image,214166,804
44,2018-01-17 16:07:32,Image,497118,10305
45,2018-01-09 14:09:29,Image,124355,2459
46,2018-01-01 18:06:51,Video,137345,2142
47,2017-12-30 18:18:47,Image,276298,1369
48,2017-12-29 20:02:49,Image,198586,806
49,2017-12-24 17:34:00,Image,238703,1685
50,2017-12-24 17:32:23,Image,324831,1691
51,2017-12-24 17:30:06,Image,284335,1018
52,2017-12-24 17:23:29,Image,102782,454
53,2017-12-22 19:04:35,Image,36711,294
54,2017-12-22 16:06:53,Image,215884,920
55,2017-12-22 11:52:33,Image,106678,457
56,2017-12-20 18:02:26,Image,47735,347
57,2017-12-20 12:14:26,Image,336051,3104
58,2017-12-19 01:44:40,Image,205373,857
59,2017-12-18 19:03:59,Image,337725,1157
60,2017-12-18 17:15:59,Image,50250,246
61,2017-12-18 14:53:42,Image,28500,199
62,2017-12-16 16:33:46,Video,96224,1372
63,2017-12-15 21:19:02,Image,140789,728
64,2017-12-15 15:27:21,Video,173206,1161
65,2017-12-15 00:49:47,Image,280463,1138
66,2017-12-15 00:33:13,Video,127834,1291
67,2017-12-14 08:20:01,Image,169506,703
68,2017-12-13 14:43:21,Video,130087,1147
69,2017-12-11 17:10:19,Image,63811,542
70,2017-12-11 13:42:36,Image,178053,1482
71,2017-12-07 16:02:52,Image,19332,535
72,2017-12-07 11:33:44,Image,377077,2482
73,2017-12-06 23:30:23,Image,238598,1531
74,2017-12-06 16:45:59,Image,93419,672
75,2017-12-05 12:47:43,Video,19593,322
76,2017-12-04 17:28:08,Image,49552,528
77,2017-12-01 20:14:42,Image,236927,1706
78,2017-12-01 12:46:32,Image,402840,2223
79,2017-11-29 09:31:42,Image,195246,1821
80,2017-11-27 18:29:49,Image,164127,856
81,2017-11-26 14:44:21,Image,106058,389
82,2017-11-25 15:24:02,Image,592084,8034
83,2017-11-23 18:56:53,Image,86411,267
84,2017-11-23 15:51:36,Image,171936,571
85,2017-11-23 13:03:21,Image,358691,1428
86,2017-11-20 16:40:13,Video,21391,267
87,2017-11-18 12:56:57,Image,327059,962
88,2017-11-17 12:11:47,Image,138800,411
89,2017-11-16 13:04:01,Image,336798,1563
90,2017-11-14 17:20:12,Image,58366,344
91,2017-11-14 02:30:21,Image,231758,2301
92,2017-11-10 12:12:12,Image,236311,1035
93,2017-11-09 18:50:45,Image,41096,320
94,2017-11-09 10:11:56,Video,81188,778
95,2017-11-08 18:12:52,Video,26910,135
96,2017-11-08 01:05:35,Image,356395,1790
97,2017-11-01 15:26:11,Video,32990,851
98,2017-11-01 12:16:31,Image,114892,546
99,2017-10-30 21:36:29,Image,179095,1682
100,2017-10-29 16:07:13,Image,188970,1245
101,2017-10-29 15:49:28,Image,110046,242
102,2017-10-27 19:43:21,Image,245848,761
103,2017-10-17 17:15:14,Image,315070,3748
104,2017-10-17 10:25:25,Image,72785,653
105,2017-10-17 08:25:51,Image,271188,3855
106,2017-10-11 00:26:06,Image,308353,1923
107,2017-10-07 11:33:28,Image,309469,1657
108,2017-10-03 20:05:14,Image,95851,853
109,2017-10-01 14:58:41,Image,160437,1950
110,2017-09-29 19:44:29,Image,432529,5964
111,2017-09-28 06:43:02,Image,147028,2391
112,2017-09-26 09:57:24,Image,38242,4893
113,2017-09-23 21:42:20,Image,99904,7972
114,2017-09-23 21:01:13,Image,45206,263
115,2017-09-17 22:05:05,Video,156607,1312
116,2017-09-17 21:17:05,Image,165295,792
117,2017-09-16 23:38:56,Image,140892,749
