,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-28 00:59:16,Image,9476,120
1,2018-03-22 22:34:16,Image,10558,61
2,2018-03-01 00:52:19,Image,8123,111
3,2018-02-21 21:25:20,Image,10252,48
4,2018-02-19 16:50:21,Image,6673,56
5,2018-02-16 21:23:21,Image,3605,26
6,2018-02-10 19:54:00,Image,7485,97
7,2018-02-01 21:04:09,Image,3289,22
8,2018-01-26 20:50:08,Image,9191,112
9,2018-01-25 03:09:40,Image,11964,135
10,2018-01-13 21:14:23,Image,10618,88
11,2018-01-10 17:44:05,Image,8832,101
12,2018-01-09 18:46:39,Image,7153,46
13,2018-01-07 21:59:01,Image,10465,69
14,2018-01-04 00:49:41,Image,10316,93
15,2018-01-02 19:02:27,Image,6797,40
16,2017-12-31 23:09:20,Image,8791,68
17,2017-12-30 20:18:05,Image,6097,43
18,2017-12-29 01:15:29,Image,9855,117
19,2017-12-23 23:54:37,Video,2544,68
20,2017-11-01 07:22:41,Image,4961,556
21,2017-09-23 12:25:54,Image,3166,178
22,2017-08-17 12:43:31,Video,1305,39
23,2017-08-10 08:44:00,Image,4122,93
24,2017-07-31 06:49:01,Video,1455,26
25,2017-07-27 20:57:44,Image,3628,86
26,2017-07-15 20:30:20,Image,5030,276
27,2017-06-16 19:41:06,Image,1214,360
28,2017-06-11 16:08:55,Image,2006,28
29,2017-06-10 19:58:53,Video,808,15
30,2017-06-04 00:43:56,Image,361,10
31,2017-05-14 21:18:11,Image,899,15
32,2016-12-03 22:03:10,Image,963,29
33,2016-10-31 20:00:11,Image,709,19
34,2016-10-16 20:58:00,Image,1563,11
35,2016-09-25 14:52:48,Image,1560,28
36,2016-08-09 17:28:57,Image,2910,57
37,2016-08-05 18:56:35,Image,1095,14
38,2016-08-03 11:15:05,Image,1257,12
39,2016-07-31 13:15:26,Image,1068,42
40,2016-07-27 10:57:22,Image,785,2
41,2016-07-20 04:06:56,Image,1228,34
42,2016-07-16 07:23:04,Image,1158,13
43,2016-07-12 00:33:16,Image,3106,10
44,2016-07-11 02:08:34,Image,1747,35
45,2016-07-03 06:09:11,Image,539,2
46,2016-07-01 06:35:31,Image,617,2
47,2016-06-22 06:48:47,Image,1685,22
48,2016-06-20 13:15:27,Image,555,8
49,2016-06-11 15:33:23,Image,627,34
50,2016-05-08 08:42:18,Image,857,14
51,2016-04-09 00:30:29,Video,1830,42
52,2016-03-30 16:14:18,Image,880,23
53,2016-02-13 18:56:54,Image,1040,51
54,2016-01-03 17:38:11,Image,1283,32
55,2015-12-17 23:54:16,Image,1645,65
56,2015-12-08 23:54:38,Image,1165,52
57,2015-11-22 18:42:44,Image,651,5
58,2015-10-24 19:54:17,Image,1294,29
59,2015-10-24 14:23:39,Image,653,9
60,2015-09-18 14:34:52,Image,933,23
61,2015-08-11 16:51:31,Image,740,10
62,2015-07-16 19:33:53,Image,1546,27
63,2015-07-12 23:56:40,Image,3219,299
64,2015-07-06 04:37:47,Image,1465,39
65,2015-07-05 00:32:46,Image,1767,57
66,2015-05-27 19:32:46,Image,1942,36
67,2015-05-13 17:20:55,Image,1345,27
68,2015-05-12 19:23:16,Image,2039,50
69,2015-04-25 14:56:34,Image,3293,58
70,2015-04-20 22:38:40,Image,1541,53
71,2015-04-17 17:01:30,Image,2460,129
72,2015-04-16 19:09:01,Image,2301,61
73,2015-04-15 15:41:19,Image,1054,19
74,2015-04-13 20:31:33,Image,2293,76
75,2015-04-13 02:11:12,Image,2311,53
76,2015-02-16 21:29:17,Image,1975,44
77,2015-02-01 18:57:59,Image,1223,18
78,2015-01-12 17:44:42,Image,2781,17
79,2015-01-05 20:20:16,Image,1474,17
80,2014-12-28 23:58:49,Image,3886,83
81,2014-12-02 15:08:06,Image,839,21
82,2014-10-30 21:13:13,Image,1202,11
83,2014-09-20 07:15:10,Image,869,8
84,2014-09-17 18:33:03,Image,1199,36
85,2014-09-14 21:28:17,Image,1298,21
86,2014-09-14 01:58:17,Image,1020,13
87,2014-09-09 05:44:56,Image,1335,24
88,2014-09-02 16:45:36,Image,1200,19
89,2014-09-01 14:31:57,Image,1266,16
90,2014-08-28 17:08:34,Image,1173,24
91,2014-08-27 07:36:06,Image,1025,12
92,2014-08-21 15:45:26,Image,955,20
93,2014-08-19 18:26:13,Image,1042,12
94,2014-08-17 17:41:50,Image,1875,19
95,2014-08-13 15:23:28,Image,902,12
96,2014-08-09 04:00:10,Image,1480,19
97,2014-08-04 08:45:10,Image,918,10
98,2014-07-27 18:57:18,Image,1285,38
99,2014-07-27 03:49:47,Image,1044,22
100,2014-07-21 22:23:05,Video,1365,33
101,2014-07-20 17:52:43,Image,1667,23
102,2014-07-19 19:19:10,Image,1059,13
103,2014-07-19 05:22:37,Image,1095,21
104,2014-07-19 03:03:37,Image,2072,24
105,2014-07-19 00:37:52,Image,1395,14
106,2014-07-18 21:54:42,Image,1254,7
107,2014-07-18 19:51:37,Image,1173,10
108,2014-07-17 17:23:17,Image,1832,31
109,2014-07-16 20:34:34,Image,1933,20
110,2014-07-15 18:49:32,Image,1811,40
111,2014-07-15 18:08:42,Image,2068,19
112,2014-07-14 04:55:59,Image,1326,34
113,2014-07-11 21:13:36,Image,1263,24
114,2014-07-09 23:19:38,Image,1252,38
115,2014-07-06 23:10:23,Image,1398,19
116,2014-07-04 18:01:44,Image,1059,14
117,2014-07-02 17:54:34,Image,1403,26
118,2014-07-02 13:28:56,Image,1135,13
119,2014-07-01 22:45:19,Image,1046,11
120,2014-07-01 02:54:18,Image,1068,21
121,2014-06-26 23:27:35,Image,1480,34
122,2014-06-19 00:04:54,Image,2625,47
123,2014-06-18 21:51:28,Video,1728,27
124,2014-06-18 20:38:26,Video,1676,24
125,2014-06-18 17:40:29,Image,2094,25
126,2014-06-17 01:23:22,Image,2022,84
127,2014-06-16 21:34:27,Image,2382,40
128,2014-06-16 00:38:47,Image,5293,129
129,2014-06-13 18:02:26,Image,1091,20
130,2014-06-13 00:31:21,Image,2822,81
131,2014-06-07 16:19:14,Image,1306,37
132,2014-06-01 14:37:54,Image,914,39
133,2014-06-01 02:29:55,Video,1278,72
134,2014-06-01 01:03:09,Image,1756,28
135,2014-06-01 00:15:31,Image,2060,72
136,2014-05-30 13:14:31,Image,1067,103
137,2014-05-22 14:58:46,Image,420,18
