,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-17 21:18:35,Image,2805,56
1,2018-03-11 17:22:11,Image,2139,39
2,2018-03-08 14:21:04,Video,3892,81
3,2018-02-15 16:07:09,Image,2853,59
4,2018-02-14 01:05:39,Image,3318,35
5,2018-02-12 23:21:21,Video,6766,85
6,2018-02-05 14:35:27,Image,2295,74
7,2018-01-21 01:12:29,Image,5075,98
8,2018-01-19 15:17:38,Video,13939,676
9,2017-12-27 21:15:12,Image,4325,195
10,2017-12-25 17:20:58,Image,1751,33
11,2017-12-25 17:14:27,Image,2231,27
12,2017-12-25 11:37:44,Video,4279,141
13,2017-12-24 23:25:26,Image,7968,84
14,2017-12-19 12:36:10,Image,7654,94
15,2017-12-16 16:11:32,Image,1302,17
16,2017-12-10 16:41:55,Video,3498,107
17,2017-12-10 15:34:36,Image,1772,15
18,2017-12-01 23:18:53,Image,3765,206
19,2017-11-21 20:25:32,Image,1366,116
20,2017-11-08 17:17:40,Video,3737,140
21,2017-11-04 14:52:47,Image,5214,102
22,2017-10-29 19:00:36,Image,2561,139
23,2017-10-29 18:55:16,Image,2157,46
24,2017-10-01 16:06:19,Image,2258,1000
25,2017-09-18 06:10:42,Image,5346,190
26,2017-09-16 18:45:25,Image,6867,815
27,2017-09-16 18:44:57,Image,9066,262
28,2017-09-03 01:01:06,Video,2679,87
29,2017-08-17 01:43:21,Image,6006,174
30,2017-07-30 18:18:48,Image,2027,49
31,2017-07-22 23:05:05,Image,2470,53
32,2017-07-12 00:32:02,Image,5373,69
33,2017-07-09 03:26:17,Image,12963,305
34,2017-07-08 20:05:10,Image,10801,278
35,2017-06-29 22:53:52,Image,2012,844
36,2017-06-07 18:06:41,Image,4125,5920
37,2017-06-05 20:26:29,Image,2174,509
38,2017-06-03 19:08:06,Image,11272,501
39,2017-05-26 00:19:32,Image,8833,390
40,2017-05-01 22:50:27,Image,9138,440
41,2017-03-27 19:52:25,Image,2622,229
42,2017-03-24 18:25:22,Image,4639,166
43,2017-03-22 23:59:35,Image,2793,68
44,2017-03-18 23:49:28,Image,2770,51
45,2017-03-18 23:38:29,Image,5838,97
46,2017-03-09 02:15:12,Image,5165,145
47,2017-03-07 03:59:42,Image,5816,59
48,2017-02-14 02:29:42,Video,1660,51
49,2017-01-21 01:11:07,Image,4029,76
50,2017-01-17 22:20:11,Image,6356,90
51,2017-01-15 17:00:39,Image,4944,44
52,2017-01-14 14:04:22,Image,511,16
53,2017-01-01 17:31:32,Image,2449,35
54,2016-12-30 19:32:29,Image,2588,23
55,2016-12-26 20:44:12,Image,3664,39
56,2016-12-26 19:53:47,Image,3132,29
57,2016-12-25 21:03:56,Image,2956,21
58,2016-12-25 11:51:10,Image,5064,76
59,2016-12-16 02:01:33,Image,2267,47
60,2016-12-15 17:55:27,Image,8637,44
61,2016-12-04 00:30:00,Image,4829,68
62,2016-12-01 22:35:53,Image,2224,26
63,2016-12-01 22:31:20,Video,1078,15
64,2016-10-20 00:13:45,Image,2270,103
65,2016-10-19 16:56:56,Image,4335,52
66,2016-10-04 23:53:06,Image,6008,47
67,2016-10-02 18:30:09,Image,4611,39
68,2016-09-30 21:55:32,Image,6403,71
69,2016-09-23 19:43:14,Image,7659,47
70,2016-09-18 14:15:28,Image,1344,25
71,2016-09-18 13:50:19,Image,2833,44
72,2016-09-07 20:40:15,Video,2633,84
73,2016-08-26 20:25:24,Image,1369,37
74,2016-08-21 17:06:03,Image,1660,29
75,2016-08-21 17:04:06,Image,1654,12
76,2016-08-21 16:58:56,Image,2344,19
77,2016-08-21 16:54:42,Image,2516,31
78,2016-07-22 14:51:27,Image,1699,54
79,2016-07-20 18:18:01,Image,1955,25
80,2016-07-11 15:59:06,Image,11701,399
81,2016-07-07 23:54:51,Image,2153,91
82,2016-06-27 02:53:25,Image,2982,88
83,2016-06-25 14:44:31,Video,1022,18
84,2016-06-15 09:30:26,Image,2025,20
85,2016-06-11 02:22:23,Image,4312,44
86,2016-06-11 02:18:17,Video,1887,23
87,2016-06-04 14:31:38,Image,2896,50
88,2016-06-02 01:49:56,Video,2249,86
89,2016-06-01 00:40:49,Image,3169,45
90,2016-06-01 00:16:21,Image,3137,47
91,2016-05-25 21:41:57,Video,717,14
92,2016-05-09 14:15:56,Image,2178,29
93,2016-05-01 23:39:15,Image,6146,194
94,2016-04-13 13:42:59,Image,7142,159
95,2016-04-04 22:52:33,Image,2217,32
96,2016-03-22 19:28:41,Image,2975,47
97,2016-03-20 15:45:15,Image,3310,39
98,2016-03-18 00:21:26,Image,5014,85
99,2016-02-15 14:18:13,Image,2450,39
100,2016-02-13 16:26:11,Image,5069,79
101,2016-02-10 18:54:44,Image,3731,46
102,2016-02-08 00:58:31,Image,3221,47
103,2016-02-06 00:55:41,Image,5539,61
104,2016-02-03 18:35:05,Image,3913,163
105,2016-02-02 14:48:30,Image,3289,75
106,2016-01-22 15:20:29,Image,3136,66
107,2016-01-22 14:39:48,Image,4286,45
108,2016-01-22 14:33:14,Image,2846,37
109,2016-01-21 13:07:34,Image,4028,176
110,2016-01-21 02:09:52,Image,2921,65
111,2016-01-18 12:04:02,Image,2361,21
112,2016-01-16 00:31:09,Image,3125,178
113,2016-01-13 19:22:12,Image,3313,223
114,2016-01-06 12:48:37,Image,2011,45
115,2015-12-24 19:55:18,Image,2113,31
116,2015-12-16 03:29:39,Image,1444,42
117,2015-12-13 14:50:51,Image,1958,15
118,2015-12-12 22:56:22,Image,5908,221
119,2015-12-02 23:08:09,Image,3052,50
120,2015-12-01 21:56:18,Image,3078,31
121,2015-11-26 14:06:04,Image,3824,104
122,2015-11-18 18:01:14,Image,2384,23
123,2015-10-31 17:28:34,Image,4054,58
124,2015-10-28 15:59:30,Image,3675,114
125,2015-10-27 09:54:45,Image,4582,78
126,2015-10-25 14:43:34,Image,4995,68
127,2015-10-21 20:21:03,Image,3419,32
128,2015-10-20 21:48:47,Video,2362,89
129,2015-10-20 12:59:11,Image,2479,30
130,2015-10-20 12:50:17,Image,1771,16
131,2015-10-17 15:20:09,Image,4938,139
132,2015-10-13 21:33:15,Image,5343,143
133,2015-10-04 09:39:26,Image,5137,92
