,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-26 15:23:59,Video,325570,3622
1,2018-03-25 12:25:10,Image,318531,1951
2,2018-03-23 14:32:45,Video,45390,330
3,2018-03-21 03:32:14,Image,229695,1374
4,2018-03-18 23:57:58,Video,197487,1063
5,2018-03-16 14:27:45,Image,105127,458
6,2018-03-16 00:53:06,Video,194608,1379
7,2018-03-14 20:01:52,Video,139538,706
8,2018-03-14 16:05:40,Video,307220,5072
9,2018-03-13 14:59:05,Video,78807,340
10,2018-03-13 00:30:31,Image,177407,636
11,2018-03-13 00:17:44,Video,245268,1918
12,2018-03-10 20:32:29,Image,506029,3591
13,2018-03-08 17:02:01,Image,457059,3628
14,2018-03-05 12:51:11,Video,82052,502
15,2018-03-04 15:55:17,Video,75361,261
16,2018-03-01 15:53:29,Image,405831,2883
17,2018-02-27 21:23:32,Image,91886,820
18,2018-02-27 16:58:05,Video,35212,137
19,2018-02-27 14:34:38,Image,332448,1702
20,2018-02-24 16:12:58,Video,48221,269
21,2018-02-22 23:30:15,Image,331579,959
22,2018-02-22 23:05:57,Image,283210,1156
23,2018-02-22 19:43:23,Image,294851,1476
24,2018-02-22 16:15:53,Image,171728,690
25,2018-02-19 04:04:48,Image,281440,1208
26,2018-02-17 01:55:12,Image,155687,549
27,2018-02-14 02:23:00,Image,222674,986
28,2018-02-12 17:15:07,Image,261870,1091
29,2018-02-10 01:22:03,Image,281436,947
30,2018-02-08 00:24:47,Image,453801,2539
31,2018-02-04 01:16:26,Image,507405,3941
32,2018-01-31 02:08:45,Image,487273,5640
33,2018-01-27 14:25:10,Image,312384,1282
34,2018-01-25 13:16:04,Image,208536,511
35,2018-01-25 01:10:49,Image,311249,1134
36,2018-01-19 15:36:29,Image,219606,802
37,2018-01-19 12:50:52,Image,382380,1723
38,2018-01-17 20:23:48,Image,147215,591
39,2018-01-17 17:02:17,Image,229515,1113
40,2018-01-15 18:18:41,Video,113441,647
41,2018-01-13 15:55:50,Image,303229,1257
42,2018-01-12 00:30:22,Video,174013,742
43,2018-01-11 02:18:35,Image,228414,955
44,2018-01-11 01:38:00,Image,209320,777
45,2018-01-09 01:47:39,Image,246116,1460
46,2018-01-05 16:27:25,Video,232308,4640
47,2018-01-04 13:35:07,Video,130955,647
48,2017-12-26 13:47:10,Video,76218,3028
49,2017-12-25 15:04:57,Video,87845,1279
50,2017-12-23 15:06:47,Video,25773,440
51,2017-12-20 17:16:49,Video,45568,849
52,2017-12-20 13:22:38,Video,78687,957
53,2017-12-20 01:03:42,Video,104997,1394
54,2017-12-19 17:29:28,Image,493741,1211
55,2017-12-18 13:42:01,Image,80156,655
56,2017-12-12 13:52:31,Video,59582,1211
57,2017-12-10 21:23:03,Image,96872,882
58,2017-12-10 14:11:45,Video,128030,1031
59,2017-12-04 16:32:29,Video,37666,1201
60,2017-11-23 17:18:51,Video,94553,1985
61,2017-11-22 20:01:03,Image,76056,799
62,2017-11-17 19:05:28,Image,199949,1081
63,2017-11-17 12:51:29,Video,161483,766
64,2017-11-17 12:46:39,Image,413087,2200
65,2017-11-13 14:35:27,Video,77515,494
66,2017-11-10 13:06:36,Video,344289,3953
67,2017-11-10 12:58:39,Image,220960,1426
68,2017-11-09 15:23:44,Image,70762,851
69,2017-11-08 21:22:21,Image,135798,2725
70,2017-11-06 16:36:30,Image,419967,8691
71,2017-11-04 19:53:56,Video,94274,557
72,2017-11-03 22:49:01,Image,147780,565
73,2017-11-03 00:42:08,Image,115468,210
74,2017-11-02 17:08:12,Image,43957,113
75,2017-10-25 22:57:48,Video,210885,1488
76,2017-10-21 23:36:33,Image,246817,954
77,2017-10-20 11:50:49,Image,158439,499
78,2017-10-18 03:49:30,Image,492676,1805
79,2017-10-14 17:11:45,Video,126106,941
80,2017-10-10 11:53:40,Image,169678,981
81,2017-10-07 18:50:30,Image,169415,390
82,2017-10-07 15:53:04,Image,107422,289
83,2017-10-06 14:28:52,Image,190599,735
84,2017-10-02 16:20:25,Image,145126,893
85,2017-09-29 16:35:37,Video,123925,2135
86,2017-09-29 13:10:54,Video,38863,397
87,2017-09-25 17:48:00,Image,215784,947
88,2017-09-25 14:27:54,Image,146974,314
89,2017-09-24 22:11:01,Image,143774,245
90,2017-09-22 15:04:39,Video,80660,344
91,2017-09-15 14:29:46,Video,147719,2160
92,2017-09-12 10:01:08,Image,128495,543
93,2017-09-11 23:14:21,Image,97167,1854
94,2017-09-07 18:26:23,Video,88540,898
95,2017-09-04 19:24:37,Video,185839,1895
96,2017-09-02 17:41:23,Image,101934,425
97,2017-08-31 21:55:17,Image,272435,913
98,2017-08-27 16:09:15,Image,69983,502
99,2017-08-27 14:11:46,Image,190467,1945
100,2017-08-27 02:04:39,Image,287645,539
101,2017-08-25 11:56:04,Video,37134,1829
102,2017-08-24 22:08:46,Video,27555,110
103,2017-08-20 20:28:12,Image,161466,357
104,2017-08-20 17:42:43,Video,59912,120
105,2017-08-20 16:09:51,Video,50991,120
106,2017-08-20 10:44:05,Video,39537,133
107,2017-08-19 18:25:03,Image,193135,527
108,2017-08-19 18:02:57,Video,78943,139
109,2017-08-19 17:21:07,Image,106951,193
110,2017-08-19 15:45:59,Image,74342,86
111,2017-08-19 13:02:46,Video,27784,127
112,2017-08-17 15:58:16,Video,41692,183
113,2017-08-16 19:03:53,Image,60950,226
114,2017-08-15 15:58:54,Video,40538,178
115,2017-08-15 11:03:19,Video,55357,291
116,2017-08-13 17:12:41,Video,45765,204
117,2017-08-13 13:00:17,Image,307336,2336
118,2017-08-13 01:04:10,Image,97026,189
119,2017-08-11 17:46:13,Image,139534,457
120,2017-08-10 14:07:03,Video,118736,1273
121,2017-08-10 07:10:40,Image,112965,283
122,2017-08-09 17:50:18,Video,47365,188
123,2017-07-29 18:22:19,Image,156775,647
124,2017-07-29 15:48:21,Image,138518,237
125,2017-07-29 00:40:31,Video,91575,251
126,2017-07-25 20:51:09,Video,54525,372
127,2017-07-24 16:32:20,Video,55482,317
128,2017-07-23 23:48:38,Image,145422,333
129,2017-07-22 20:45:37,Image,185015,889
130,2017-07-19 18:38:02,Image,60145,327
131,2017-07-14 18:38:52,Video,64542,458
132,2017-07-13 23:52:20,Video,233647,1960
133,2017-07-02 23:56:45,Image,131670,1624
134,2017-07-02 19:11:54,Video,78562,444
135,2017-07-01 04:19:24,Video,54436,487
136,2017-06-29 23:04:55,Video,266496,4334
137,2017-06-28 23:35:16,Image,138399,1550
138,2017-06-25 13:37:44,Image,116257,1840
139,2017-06-24 13:32:50,Image,93774,222
140,2017-06-23 21:37:01,Image,93409,174
141,2017-06-23 15:32:17,Image,205878,940
142,2017-06-23 09:28:13,Image,172471,669
143,2017-06-22 12:25:26,Image,116939,338
144,2017-06-08 21:16:08,Video,163056,1863
145,2017-06-01 14:44:18,Image,31620,335
146,2017-05-23 12:29:48,Image,301073,1477
147,2017-05-19 16:36:59,Image,171933,1181
148,2017-05-14 13:37:38,Image,211170,811
149,2017-05-13 15:51:01,Image,167400,2305
150,2017-04-15 13:54:48,Video,73075,4440
151,2017-04-14 17:35:20,Image,144018,1536
152,2017-04-07 11:44:12,Image,184550,1886
153,2017-04-06 22:57:45,Image,180480,757
154,2017-04-04 14:30:15,Image,158180,592
155,2017-03-29 20:33:59,Image,178020,908
156,2017-03-26 20:51:42,Image,146397,712
157,2017-03-25 21:33:36,Image,232991,1371
158,2017-03-25 17:32:34,Image,217347,663
159,2017-03-22 15:19:20,Image,166339,446
160,2017-03-21 14:26:25,Image,160174,862
161,2017-03-21 00:19:37,Image,144764,1061
162,2017-03-16 22:02:22,Image,186994,759
163,2017-03-13 01:48:02,Image,196515,1985
164,2017-03-10 00:01:59,Image,102809,313
165,2017-03-09 20:55:58,Image,84968,161
166,2017-03-03 18:09:06,Video,87691,783
167,2017-03-01 00:23:03,Image,157676,557
168,2017-02-28 16:53:14,Image,87757,381
169,2017-02-26 22:00:48,Image,118202,644
170,2017-02-26 17:37:58,Video,71479,391
171,2017-02-24 01:47:17,Video,91810,494
172,2017-02-20 17:05:19,Image,123580,575
173,2017-02-20 01:38:57,Image,178121,851
174,2017-02-19 19:11:46,Image,116429,299
175,2017-02-18 22:36:36,Image,163794,470
176,2017-02-18 16:22:17,Image,84260,172
177,2017-02-18 15:37:37,Image,119477,250
178,2017-02-18 15:19:49,Image,62366,91
179,2017-02-17 15:16:56,Image,52720,175
180,2017-02-17 14:53:12,Image,92539,262
181,2017-02-16 20:13:14,Image,133977,502
182,2017-02-14 16:11:15,Video,70660,1175
183,2017-02-09 23:19:02,Image,199465,1486
184,2017-02-09 01:06:19,Image,148013,1113
185,2017-02-04 17:46:23,Image,129995,573
186,2017-02-01 01:00:40,Image,103498,614
187,2017-01-28 01:26:06,Video,88537,705
188,2017-01-28 01:02:20,Image,154450,867
189,2017-01-20 14:49:20,Video,71903,1460
190,2017-01-19 20:09:13,Video,79509,480
191,2017-01-19 00:29:49,Image,89379,438
192,2017-01-16 19:10:40,Image,88049,238
193,2017-01-15 22:17:07,Image,107377,514
194,2017-01-14 23:42:43,Image,140886,1320
195,2017-01-11 15:00:16,Image,174542,774
196,2017-01-09 17:29:22,Image,112106,649
197,2017-01-09 14:38:30,Image,100418,475
198,2017-01-09 00:27:44,Image,132853,498
199,2017-01-06 16:16:57,Image,91115,638
200,2017-01-06 00:55:00,Image,313367,3230
201,2017-01-02 00:42:15,Image,90224,562
202,2016-12-31 00:36:25,Image,128886,1315
203,2016-12-29 20:57:05,Image,100790,1190
204,2016-12-27 01:35:31,Video,121785,1645
205,2016-12-20 15:27:09,Image,106820,2285
206,2016-12-20 00:21:42,Video,50997,813
