,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-29 21:21:19,Image,277060,5611
1,2018-03-27 21:24:50,Image,218068,2250
2,2018-03-26 22:45:49,Image,269760,1089
3,2018-03-25 20:19:39,Image,186164,806
4,2018-03-24 22:08:53,Image,225052,2367
5,2018-03-22 22:18:13,Image,185148,537
6,2018-03-21 22:24:54,Image,231360,1912
7,2018-03-19 22:20:01,Image,170993,638
8,2018-03-16 22:35:23,Image,218709,2125
9,2018-03-06 23:46:43,Image,178698,2397
10,2018-03-05 00:40:57,Image,159089,803
11,2018-03-03 00:32:47,Image,189777,784
12,2018-03-02 00:52:10,Image,382749,4460
13,2018-02-24 21:24:08,Image,226243,1322
14,2018-02-23 00:21:45,Image,221335,1578
15,2018-02-19 02:14:17,Image,280601,1615
16,2018-02-12 23:34:29,Image,183229,1768
17,2018-02-10 23:13:42,Image,210388,1159
18,2018-02-09 23:22:26,Image,174397,665
19,2018-02-07 22:26:01,Image,169345,478
20,2018-01-28 23:20:38,Image,457729,28620
21,2018-01-27 00:21:29,Image,159077,1167
22,2018-01-21 00:09:19,Image,150827,1073
23,2018-01-18 23:31:49,Image,270133,4862
24,2018-01-15 22:08:12,Image,186070,2397
25,2018-01-14 22:34:28,Image,110783,579
26,2018-01-13 20:56:32,Image,150735,944
27,2018-01-05 23:16:39,Image,186847,2248
28,2018-01-03 23:45:02,Image,136332,922
29,2018-01-01 01:09:14,Image,159853,1802
30,2017-12-27 21:12:40,Image,175116,1228
31,2017-12-25 17:45:00,Image,211138,1273
32,2017-12-16 00:37:11,Image,209318,4217
33,2017-12-13 21:48:52,Image,246054,7160
34,2017-12-08 00:33:47,Image,207591,3032
35,2017-12-06 22:11:56,Image,143979,1429
36,2017-12-03 00:11:19,Image,166887,1632
37,2017-12-01 22:15:35,Image,143387,2298
38,2017-11-29 23:50:20,Image,163309,934
39,2017-11-28 22:22:21,Video,127785,1602
40,2017-11-25 23:34:00,Image,126153,742
41,2017-11-22 23:21:56,Image,191914,1710
42,2017-11-20 23:23:44,Image,152413,1109
43,2017-11-19 19:11:43,Image,251530,4786
44,2017-11-16 20:41:01,Image,168591,1834
45,2017-11-16 02:56:09,Image,305390,8889
46,2017-11-14 23:00:09,Image,200796,3788
47,2017-11-03 23:29:07,Image,107588,897
48,2017-11-02 22:41:16,Image,99564,567
49,2017-11-01 23:20:05,Image,109242,712
50,2017-10-30 23:40:02,Image,94291,510
51,2017-10-30 00:38:50,Image,100623,1261
52,2017-10-24 22:11:16,Image,126443,942
53,2017-10-23 22:57:52,Image,114547,843
54,2017-10-18 23:52:02,Image,146389,1181
55,2017-10-17 19:45:34,Image,90137,1028
56,2017-10-14 00:33:52,Image,161752,6089
57,2017-10-12 20:20:26,Image,103762,625
58,2017-10-11 22:54:59,Image,132271,1173
59,2017-10-10 00:05:19,Image,139437,1695
60,2017-10-05 20:01:03,Image,84913,943
61,2017-09-27 19:55:49,Image,90057,923
62,2017-09-25 20:54:16,Image,140816,1421
63,2017-09-24 22:00:20,Image,71894,285
64,2017-09-23 19:57:26,Image,118650,544
65,2017-09-15 21:15:46,Image,109450,836
66,2017-09-13 21:06:50,Image,109209,1432
67,2017-07-28 20:02:20,Video,81133,1472
68,2017-07-17 15:57:18,Video,94814,1441
69,2017-07-14 20:55:09,Image,125094,827
70,2017-07-12 22:15:37,Image,97182,1175
71,2017-07-10 23:06:35,Image,51073,267
72,2017-07-04 19:46:46,Video,104754,3939
73,2017-06-30 22:23:36,Image,111020,989
74,2017-06-24 19:54:30,Image,111687,712
75,2017-06-22 20:16:33,Image,154976,1740
76,2017-06-17 21:06:35,Image,159096,4339
77,2017-06-17 13:49:51,Video,89304,1063
78,2017-06-12 22:09:18,Image,84962,714
79,2017-06-07 22:32:25,Image,56298,530
80,2017-06-02 17:36:32,Image,82268,803
81,2017-05-30 18:35:06,Image,103132,1725
82,2017-05-28 20:30:39,Image,92085,1823
83,2017-05-19 21:27:04,Image,57210,276
