,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-21 22:30:51,Image,160018,2202
1,2018-03-13 04:07:50,Image,341341,3559
2,2018-02-16 15:10:35,Image,309979,3051
3,2018-02-09 12:55:44,Image,84586,1126
4,2017-12-19 13:35:30,Video,200237,7260
5,2017-12-19 04:24:55,Image,616366,5463
6,2017-12-18 17:53:39,Image,673050,5341
7,2017-12-16 14:02:42,Image,197046,2346
8,2017-12-15 16:27:25,Image,76559,735
9,2017-12-15 03:42:09,Image,229618,1436
10,2017-12-05 20:06:48,Image,159439,1818
11,2017-12-05 02:54:40,Image,324387,4282
12,2017-12-03 23:35:50,Image,337638,3764
13,2017-11-22 02:17:17,Image,227063,5719
14,2017-11-19 22:52:27,Image,250093,3544
15,2017-11-19 18:18:48,Image,340211,2332
16,2017-11-16 11:36:26,Image,284098,6698
17,2017-11-14 07:52:28,Image,121274,964
18,2017-11-13 13:17:32,Image,154453,3611
19,2017-11-13 13:06:47,Image,267165,4649
20,2017-11-12 03:32:04,Image,327933,4104
21,2017-10-24 13:08:53,Video,148623,4881
22,2017-10-13 10:06:53,Image,120855,5818
23,2017-10-10 11:29:26,Video,120322,1746
24,2017-10-09 02:13:03,Image,217833,2484
25,2017-10-07 05:24:48,Image,286815,5130
26,2017-09-27 12:42:35,Video,117299,9584
27,2017-09-15 15:14:18,Video,117679,11960
28,2017-09-14 14:27:11,Video,101147,3609
29,2017-09-04 13:31:33,Video,125124,6015
30,2017-09-02 10:43:00,Video,98078,4711
31,2017-08-27 12:59:33,Video,169997,5468
32,2017-08-19 13:33:01,Image,178402,9257
33,2017-08-18 10:12:05,Video,273151,10066
34,2017-08-17 19:47:12,Image,401741,23677
