,DATE,MEDIA,LIKES,COMMENTS
-4,2018-04-15 00:30:24,Image,347947,12129
-3,2018-04-14 10:53:30,Video,487893,2778
-2,2018-04-13 21:56:00,Image,1191869,12588
-1,2018-04-11 20:33:12,Image,1128935,17975
0,2018-04-11 12:35:30,Image,816047,9534
1,2018-04-09 23:27:10,Image,1350256,22979
2,2018-04-09 23:11:44,Image,923870,9006
3,2018-04-07 00:20:59,Image,1495107,13223
4,2018-04-06 22:58:29,Video,896069,17228
5,2018-04-06 16:52:40,Image,600963,4574
6,2018-04-04 20:14:14,Image,1081421,7247
7,2018-04-04 10:38:54,Video,377490,3908
8,2018-04-03 23:30:52,Image,585677,3618
9,2018-04-03 17:11:43,Image,1727666,24659
10,2018-04-02 22:13:15,Image,1168692,14870
11,2018-04-02 18:53:43,Image,258409,686
12,2018-04-01 15:11:52,Image,1191062,4203
13,2018-03-31 18:41:58,Video,387007,6592
14,2018-03-31 11:15:02,Video,1106754,7415
15,2018-03-31 10:13:11,Video,536685,9534
16,2018-03-28 22:27:56,Image,1202258,5045
17,2018-03-28 17:18:07,Video,768820,10348
18,2018-03-28 10:58:40,Image,986130,6792
19,2018-03-27 00:08:00,Image,732701,3386
20,2018-03-26 14:28:32,Image,850142,7629
21,2018-03-26 12:05:12,Video,801158,11897
22,2018-03-25 17:14:40,Image,628137,3673
23,2018-03-25 16:54:27,Image,1204673,11927
24,2018-03-23 15:22:06,Image,573891,2844
25,2018-03-20 17:01:48,Image,687836,12046
26,2018-03-20 00:04:18,Video,645494,2725
27,2018-03-16 13:25:34,Image,1440527,24385
28,2018-03-16 13:23:53,Image,1178721,31844
29,2018-03-14 17:02:31,Image,1533231,10873
30,2018-03-14 14:07:11,Video,951820,15112
31,2018-03-12 20:07:54,Video,1205667,29277
32,2018-03-12 13:21:29,Image,693711,2398
33,2018-03-10 13:13:43,Image,716200,3056
34,2018-03-08 03:50:06,Image,722883,6411
35,2018-03-07 15:16:17,Video,741717,9906
36,2018-03-02 11:36:43,Video,1405407,40373
37,2018-03-02 01:52:51,Image,1327617,12423
38,2018-02-28 16:08:16,Video,685706,4847
39,2018-02-28 00:45:20,Image,1340514,27497
40,2018-02-26 11:01:23,Image,955527,10980
41,2018-02-25 20:51:18,Image,776392,5831
42,2018-02-24 16:36:17,Video,779029,18169
43,2018-02-19 17:16:05,Image,1807129,19303
44,2018-02-19 13:49:18,Image,2218265,18122
45,2018-02-18 16:23:26,Image,707905,4385
46,2018-02-18 16:15:31,Image,1085718,5574
47,2018-02-17 23:59:44,Image,1305757,11940
48,2018-02-16 23:47:43,Image,1524472,46168
49,2018-02-15 16:47:47,Image,491313,2952
50,2018-02-14 12:39:27,Image,685821,3819
51,2018-02-14 04:02:13,Image,1405089,12271
52,2018-02-12 15:15:52,Image,830094,5685
53,2018-02-09 23:51:43,Image,707928,7625
54,2018-02-08 14:34:18,Image,1482148,17646
55,2018-02-08 10:29:23,Image,1301320,19521
56,2018-02-04 00:56:01,Image,797166,13219
57,2018-02-01 13:49:55,Image,829551,9227
58,2018-01-31 00:36:07,Image,870498,10540
59,2018-01-30 18:18:57,Image,934413,9449
60,2018-01-26 17:52:33,Video,391606,2633
61,2018-01-25 20:24:13,Image,1523814,44391
62,2018-01-24 12:20:12,Image,1903478,22844
63,2018-01-23 11:29:07,Image,1533767,34145
64,2018-01-21 18:35:56,Image,382118,2984
65,2018-01-19 22:36:35,Image,628538,6650
66,2018-01-17 11:22:56,Image,997280,6482
67,2018-01-15 12:47:37,Image,998746,7514
68,2018-01-15 12:45:34,Video,199040,703
69,2018-01-14 10:29:09,Video,739312,5906
70,2018-01-11 02:09:23,Image,707999,5225
71,2018-01-10 19:21:00,Image,679896,6715
72,2018-01-10 14:18:27,Image,666823,3169
73,2018-01-08 19:58:19,Image,1230715,30891
74,2018-01-07 19:34:58,Image,1391772,23751
75,2018-01-07 11:29:38,Image,1171359,8980
76,2018-01-05 16:59:07,Image,1106763,5796
77,2018-01-01 16:12:40,Image,1384665,12799
78,2017-12-25 22:57:55,Image,694143,29942
