,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-05 19:01:22,Video,36584,485
1,2018-03-04 15:34:46,Image,136945,467
2,2018-03-02 15:31:54,Image,258765,1650
3,2018-02-23 11:32:14,Image,86234,496
4,2018-02-17 19:29:30,Image,137666,1028
5,2018-02-16 12:23:10,Image,468577,4170
6,2018-02-09 03:22:54,Image,390237,4909
7,2018-02-07 12:25:05,Video,117981,3757
8,2018-01-11 19:02:57,Video,58534,814
9,2018-01-10 13:45:03,Video,102143,668
10,2018-01-07 18:07:59,Image,236729,1338
11,2017-12-31 14:54:25,Image,191397,1402
12,2017-12-24 12:07:33,Image,144976,1080
13,2017-12-19 23:34:35,Image,105734,643
14,2017-12-18 16:47:21,Image,89216,789
15,2017-12-09 14:25:43,Image,206211,1682
16,2017-12-09 13:53:28,Image,144969,906
17,2017-11-30 14:29:27,Video,41142,995
18,2017-11-26 02:50:47,Image,202623,961
19,2017-11-24 00:17:58,Image,110970,629
20,2017-11-16 16:39:59,Image,132576,1248
21,2017-11-14 21:34:28,Video,90801,587
22,2017-11-10 13:55:30,Video,78191,484
23,2017-11-05 00:56:55,Image,200263,1091
24,2017-11-03 19:56:36,Video,56014,258
25,2017-11-02 18:15:30,Image,75979,468
26,2017-10-31 14:52:17,Image,109837,386
27,2017-10-27 16:47:24,Video,74664,441
28,2017-10-10 21:21:11,Image,160696,1049
29,2017-10-08 00:43:27,Image,95722,446
30,2017-10-03 19:40:41,Video,41280,390
31,2017-09-22 23:33:23,Image,169081,1138
32,2017-09-20 15:56:52,Image,60767,306
33,2017-09-13 21:12:25,Image,150360,939
34,2017-09-07 23:05:23,Image,79212,391
35,2017-08-25 23:25:00,Image,88228,632
36,2017-08-24 13:40:10,Video,71802,418
37,2017-08-20 19:06:04,Image,189162,1323
38,2017-07-21 20:50:32,Image,167433,1184
39,2017-07-02 00:53:43,Image,120546,1011
40,2017-06-29 14:09:41,Image,185273,1380
41,2017-06-29 09:06:27,Image,231832,1982
42,2017-06-26 21:09:51,Video,63534,652
43,2017-06-26 04:01:16,Image,122656,572
44,2017-06-26 03:55:49,Image,93471,387
45,2017-06-25 23:26:29,Image,196758,1502
46,2017-06-24 02:09:35,Image,241581,1498
47,2017-06-15 01:06:24,Image,264413,1438
48,2017-06-14 19:34:19,Image,335499,3261
49,2017-06-14 19:33:28,Image,263515,1725
50,2017-05-30 18:30:33,Video,120639,3322
51,2017-05-15 18:14:58,Video,66328,1076
52,2017-05-12 18:36:25,Image,255072,3487
53,2017-05-09 22:36:46,Image,157712,1470
54,2017-05-01 16:49:40,Image,168540,1245
55,2017-03-31 00:27:54,Image,58958,542
56,2017-03-23 17:44:24,Image,112721,745
57,2017-03-16 15:27:56,Video,67422,355
58,2017-02-28 13:43:16,Video,47033,627
59,2017-02-20 21:01:34,Image,84962,366
60,2017-02-20 00:24:03,Image,123523,587
61,2017-02-18 17:57:47,Image,150740,1759
62,2017-02-03 19:05:50,Video,105636,25735
63,2016-12-20 15:10:03,Image,119196,2833
64,2016-12-07 19:18:11,Image,134601,2442
65,2016-12-06 04:24:41,Image,161121,1764
66,2016-11-03 16:08:29,Image,154283,3088
67,2016-10-29 01:50:02,Image,92142,464
68,2016-10-09 03:03:03,Image,155915,1317
69,2016-08-21 20:06:42,Image,264442,4438
70,2016-08-07 13:29:35,Video,139367,2599
71,2016-08-05 21:01:12,Image,252256,3126
72,2016-08-04 20:41:57,Image,172888,1230
73,2016-08-02 23:12:38,Image,138279,922
74,2016-07-24 04:07:00,Image,106908,736
75,2016-07-23 16:25:48,Image,133171,1016
76,2016-07-20 19:57:24,Image,113463,831
77,2016-07-19 19:16:33,Image,109138,679
78,2016-06-27 09:19:33,Image,177522,3033
79,2016-04-25 19:40:41,Image,94592,8708
80,2016-03-26 21:01:47,Image,104922,2740
81,2016-03-24 20:26:19,Image,101908,1133
82,2016-03-24 18:41:32,Image,73268,650
83,2016-03-16 01:19:38,Image,86481,847
84,2016-03-10 19:40:01,Image,99623,1891
85,2016-03-08 20:16:01,Image,65452,278
86,2016-02-26 14:51:03,Image,47400,394
87,2016-02-16 01:21:38,Image,117242,1040
88,2016-02-12 19:25:18,Image,42430,612
89,2016-02-07 23:34:29,Image,94464,2173
90,2016-02-05 13:05:30,Video,62854,869
91,2016-02-05 00:00:33,Image,86221,633
92,2016-02-04 16:13:30,Image,103497,1806
93,2016-01-29 20:04:03,Image,89367,1128
94,2016-01-18 15:47:31,Image,55814,395
95,2016-01-11 00:31:49,Image,103948,1384
96,2016-01-06 04:09:21,Image,89043,1353
97,2015-12-27 03:42:16,Image,47790,642
98,2015-12-21 00:32:33,Image,87757,1156
99,2015-12-19 21:23:55,Image,84831,864
100,2015-12-14 13:51:23,Image,59670,502
101,2015-11-06 16:34:46,Image,52119,1172
102,2015-10-28 02:33:46,Video,106579,1855
103,2015-10-21 20:01:56,Image,55641,606
104,2015-10-20 20:00:13,Image,32782,294
105,2015-10-18 20:44:46,Image,36677,500
106,2015-10-16 17:50:18,Image,72832,577
107,2015-10-11 23:01:06,Image,61839,657
108,2015-10-07 03:13:14,Image,51286,426
109,2015-10-03 17:03:06,Image,52058,358
110,2015-09-30 19:50:02,Image,94269,947
111,2015-09-26 20:08:34,Video,53105,528
112,2015-09-16 18:36:04,Image,72810,1068
113,2015-09-11 20:59:16,Image,55331,196
114,2015-09-05 15:52:41,Image,77984,843
115,2015-08-29 18:39:47,Image,58970,492
116,2015-08-26 20:57:20,Image,66924,424
117,2015-08-26 11:05:45,Video,51466,2054
118,2015-08-24 23:15:51,Video,58702,588
119,2015-08-23 16:06:31,Image,67951,319
120,2015-08-18 17:46:47,Image,34819,172
