,DATE,MEDIA,LIKE,COMMENTS
0,2018-02-16 19:43:32,Image,116112,7621
1,2018-02-12 15:46:21,Image,555725,6754
2,2018-02-02 00:21:32,Video,576177,5273
3,2017-12-14 17:57:55,Video,439831,12581
4,2017-11-17 13:19:31,Video,361067,8443
5,2017-10-18 10:52:44,Image,979177,15068
6,2017-09-28 13:00:43,Image,394618,7911
7,2017-09-16 15:14:05,Image,182904,3144
8,2017-09-15 12:12:17,Image,678191,7941
9,2017-09-01 17:38:04,Image,1130161,28991
10,2017-08-31 14:49:32,Video,441433,11492
11,2017-08-31 13:04:20,Image,724668,18552
12,2017-08-11 12:53:59,Video,519122,35994
13,2017-08-06 19:00:54,Image,343836,3186
14,2017-08-05 11:52:41,Image,591735,6780
15,2017-08-03 23:31:01,Video,194089,3188
16,2017-07-25 15:01:02,Image,220487,15245
17,2017-07-25 14:58:06,Image,196592,2072
18,2017-07-25 14:57:28,Image,314581,2583
19,2017-07-25 14:56:11,Image,201002,1245
20,2017-07-25 14:55:37,Image,203476,1039
21,2017-07-25 14:54:48,Image,244548,1134
22,2017-07-25 14:52:51,Image,385890,4878
23,2017-07-25 14:51:33,Image,304500,2049
24,2017-07-24 10:21:24,Image,319761,7692
25,2017-07-24 10:18:19,Image,273157,1829
26,2017-07-24 10:17:09,Image,186111,834
27,2017-07-24 10:02:27,Image,491792,3926
28,2017-07-24 10:01:07,Image,243786,1484
29,2017-07-24 04:02:50,Image,295424,2995
30,2017-07-23 14:11:59,Image,298480,3917
31,2017-07-23 13:14:06,Image,236152,2210
32,2017-07-23 11:10:06,Image,191306,1711
33,2017-07-23 11:09:22,Image,378400,5977
34,2017-07-23 11:08:10,Image,160572,1169
35,2017-07-22 10:26:48,Image,484596,22990
36,2017-07-22 10:23:26,Image,306034,6999
37,2017-07-22 10:22:14,Image,357026,6666
38,2017-07-21 13:43:33,Image,395255,31866
39,2017-07-21 01:25:55,Image,284306,2513
40,2017-07-20 22:36:18,Image,339924,2669
41,2017-07-20 19:45:03,Image,374966,3056
42,2017-07-20 05:38:02,Video,208108,2525
43,2017-07-20 02:44:00,Video,264917,3091
44,2017-07-17 23:19:51,Image,581583,4323
45,2017-07-10 14:57:23,Video,230723,2429
46,2017-07-07 13:42:30,Image,446996,4715
47,2017-07-06 23:21:22,Image,327706,1661
48,2017-06-24 02:57:17,Image,303301,2386
49,2017-06-24 01:36:21,Image,331778,885
50,2017-06-22 20:19:11,Video,158541,529
51,2017-06-22 20:11:21,Video,302192,1238
