,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-25 16:32:06,Image,41806,134
1,2018-03-24 17:21:09,Video,52110,268
2,2018-03-23 21:45:36,Image,41479,123
3,2018-03-11 21:03:38,Image,26098,202
4,2018-03-06 20:53:07,Image,46838,180
5,2018-03-03 12:37:13,Image,31793,71
6,2018-02-24 13:07:49,Image,17001,93
7,2018-02-02 15:45:55,Image,54703,402
8,2018-01-31 13:08:41,Image,29535,129
9,2018-01-27 14:53:20,Image,15692,87
10,2018-01-24 10:32:29,Image,45862,241
11,2018-01-20 22:50:06,Image,44904,206
12,2018-01-10 15:41:03,Image,23351,106
13,2018-01-05 10:51:36,Image,37829,158
14,2018-01-03 13:59:49,Image,25414,137
15,2017-12-31 19:00:57,Image,35089,163
16,2017-12-23 16:52:14,Image,25283,130
17,2017-12-10 12:24:17,Image,31578,155
18,2017-11-30 14:50:16,Image,21164,196
19,2017-11-24 17:01:12,Image,24847,96
20,2017-11-23 23:49:43,Image,46794,176
21,2017-11-18 14:47:03,Image,35154,143
22,2017-10-31 23:00:53,Image,11308,79
23,2017-10-27 23:11:14,Image,28068,151
24,2017-10-24 11:49:50,Image,33444,283
25,2017-10-19 17:12:34,Image,13027,127
26,2017-10-19 15:03:29,Image,21691,141
27,2017-10-15 15:37:07,Image,12977,41
28,2017-10-15 02:36:28,Video,20144,112
29,2017-10-09 10:53:46,Video,37082,354
30,2017-10-09 10:34:32,Image,22882,85
31,2017-10-07 16:09:17,Image,39483,188
32,2017-10-06 20:01:25,Image,23588,68
33,2017-10-06 19:52:36,Image,29512,85
34,2017-09-30 18:14:00,Image,31997,117
35,2017-09-28 13:10:55,Image,36744,165
36,2017-09-22 19:51:49,Video,26808,182
37,2017-09-16 22:53:49,Image,32032,331
38,2017-09-16 18:35:23,Video,36630,302
39,2017-08-25 16:58:35,Video,26118,249
40,2017-08-24 16:53:32,Video,4959,20
41,2017-08-24 15:57:06,Image,31214,291
42,2017-08-24 15:51:18,Image,39995,178
43,2017-08-19 12:09:13,Video,8335,69
44,2017-08-08 08:16:31,Image,22245,97
45,2017-08-07 18:32:42,Image,27092,75
46,2017-07-31 14:10:23,Image,40653,200
47,2017-07-28 06:26:44,Image,25125,142
48,2017-07-27 22:36:18,Image,42259,133
49,2017-07-24 19:01:20,Image,28667,109
50,2017-07-23 03:15:02,Image,10054,21
51,2017-07-23 02:39:54,Image,30203,76
52,2017-07-23 02:35:18,Image,20699,53
53,2017-07-20 17:13:05,Image,22850,74
54,2017-07-18 19:51:08,Video,18104,48
55,2017-07-18 16:46:39,Image,15706,78
56,2017-07-18 16:30:12,Image,9892,26
57,2017-07-18 13:10:55,Image,17010,63
58,2017-07-07 20:12:15,Image,11483,75
59,2017-07-06 03:09:32,Image,21004,115
60,2017-07-04 23:00:01,Image,26318,76
61,2017-06-24 00:49:08,Image,42177,233
62,2017-06-21 14:50:22,Image,36912,113
63,2017-06-20 12:08:43,Image,37396,103
64,2017-06-18 23:13:14,Image,16379,39
65,2017-06-15 15:31:35,Video,28313,332
66,2017-06-14 22:20:54,Video,19264,89
67,2017-06-11 12:47:21,Image,20355,208
68,2017-06-09 16:31:22,Image,29377,63
69,2017-06-06 01:28:10,Image,30823,110
70,2017-06-05 16:16:47,Video,10307,28
71,2017-05-28 16:36:32,Image,17171,54
72,2017-05-26 18:35:13,Image,12940,96
73,2017-05-26 13:21:41,Video,25889,169
74,2017-05-21 04:09:28,Video,14916,121
75,2017-05-20 12:19:55,Image,13117,30
76,2017-05-18 18:41:58,Image,26931,114
77,2017-05-14 18:16:46,Image,22385,54
78,2017-04-28 16:39:37,Image,22711,148
79,2017-04-13 12:24:16,Image,39047,145
80,2017-04-05 17:02:59,Image,31801,187
81,2017-03-26 20:36:06,Image,32826,169
82,2017-03-26 20:31:51,Image,21521,92
83,2017-03-24 11:28:40,Image,19389,93
84,2017-03-14 18:30:07,Image,32319,113
85,2017-03-12 13:04:47,Image,33338,214
86,2017-03-11 12:45:07,Image,7629,65
87,2017-02-18 13:58:57,Image,9055,1061
88,2017-02-17 15:28:06,Video,7166,81
89,2017-02-17 02:39:06,Image,29165,141
90,2017-02-16 21:27:31,Image,21661,101
91,2017-02-15 15:13:09,Video,4947,68
92,2017-02-13 13:55:32,Video,3324,26
93,2017-02-10 12:27:35,Video,9858,35
94,2017-02-09 17:43:37,Video,6488,28
95,2017-02-08 23:46:57,Image,25925,263
96,2017-02-08 23:31:09,Image,20451,67
97,2017-02-02 22:48:54,Video,12072,57
98,2017-02-02 20:30:02,Image,51178,564
99,2017-02-02 11:44:32,Image,27495,98
100,2017-01-21 19:02:31,Video,5529,92
101,2017-01-20 23:35:59,Image,29338,153
102,2017-01-12 16:18:03,Image,22948,125
103,2017-01-04 00:07:15,Image,10598,51
104,2016-12-24 16:38:02,Image,31240,358
105,2016-12-21 18:38:14,Image,21510,116
106,2016-12-19 23:42:00,Image,30485,232
107,2016-12-17 00:29:20,Image,38387,165
108,2016-12-16 16:04:13,Video,11005,50
109,2016-12-12 15:54:20,Image,13989,93
110,2016-11-29 11:58:39,Image,5093,43
111,2016-11-28 20:12:37,Image,4847,24
112,2016-11-26 20:38:31,Image,14723,65
113,2016-11-13 14:10:59,Image,32889,174
114,2016-11-08 01:05:28,Image,41593,385
115,2016-10-26 16:49:34,Image,7218,67
116,2016-10-24 17:46:51,Image,17356,101
