,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-28 15:05:11,Image,267158,1268
1,2018-03-23 23:01:34,Image,36657,349
2,2018-03-17 12:27:30,Image,352945,2002
3,2018-03-15 14:31:26,Image,204099,1239
4,2018-03-13 23:08:01,Image,693678,7218
5,2018-03-12 13:18:53,Video,180193,1230
6,2018-03-11 20:39:19,Image,215792,469
7,2018-03-04 18:03:54,Image,436624,2884
8,2018-03-03 01:17:15,Image,486474,1744
9,2018-02-28 11:16:27,Video,150168,1137
10,2018-02-27 12:00:31,Image,87398,301
11,2018-02-23 13:53:01,Image,796050,5962
12,2018-02-21 15:45:33,Video,109681,719
13,2018-02-20 14:28:22,Image,468185,2355
14,2018-02-19 14:45:37,Image,758188,2721
15,2018-02-17 12:44:24,Video,69271,486
16,2018-02-16 19:41:00,Image,57806,177
17,2018-02-16 13:10:01,Image,59822,215
18,2018-02-15 11:03:24,Image,203498,1508
19,2018-02-14 12:41:50,Image,164142,529
20,2018-02-13 11:52:31,Image,94225,387
21,2018-02-13 11:52:16,Image,58199,153
22,2018-02-13 11:51:43,Image,94925,253
23,2018-02-12 17:34:45,Video,191595,1220
24,2018-02-07 15:54:02,Video,287738,1852
25,2018-02-03 17:10:32,Image,557839,2880
26,2018-01-30 14:04:02,Image,190947,1418
27,2018-01-29 12:24:03,Image,214319,1104
28,2018-01-27 20:52:00,Image,612434,2529
29,2018-01-21 14:16:46,Image,413480,3115
30,2018-01-16 12:46:05,Image,356261,1745
31,2018-01-15 11:00:43,Image,264420,813
32,2018-01-13 21:46:14,Image,81057,469
33,2018-01-05 16:37:03,Image,132662,1427
34,2018-01-04 03:08:05,Video,355420,4279
35,2018-01-01 00:39:37,Image,800389,5368
36,2017-12-30 15:18:55,Image,372964,5968
37,2017-12-25 12:14:20,Image,511018,4339
38,2017-12-20 14:36:48,Image,176746,2327
39,2017-12-19 16:19:26,Image,202267,1722
40,2017-12-19 01:02:40,Image,1007020,3495
41,2017-12-12 14:34:29,Image,240600,3956
42,2017-12-12 10:45:13,Image,344776,2940
43,2017-12-02 21:57:49,Image,189596,3552
44,2017-11-27 17:50:18,Image,69128,2837
45,2017-11-21 12:58:50,Image,96888,3322
46,2017-11-20 15:00:15,Image,50405,798
47,2017-11-19 19:24:57,Image,87834,489
48,2017-11-15 13:01:05,Image,214585,1222
49,2017-11-13 00:21:54,Image,586831,8924
50,2017-11-11 13:46:03,Image,74571,4591
51,2017-11-07 16:32:09,Image,68917,860
52,2017-11-01 12:46:14,Image,232061,2846
53,2017-10-31 22:34:29,Image,310137,1998
54,2017-10-30 18:02:53,Image,517817,2304
55,2017-10-24 15:08:26,Video,198268,1341
56,2017-10-20 15:12:05,Image,247332,1390
57,2017-10-16 10:53:11,Video,143331,2375
58,2017-10-14 23:18:45,Image,587364,3860
59,2017-10-14 23:11:37,Image,414449,1771
60,2017-10-14 15:47:02,Image,178195,323
61,2017-10-05 11:26:28,Image,236703,1503
62,2017-10-05 11:25:18,Image,61249,685
63,2017-10-05 11:24:05,Video,102680,440
64,2017-10-03 13:17:40,Image,260919,857
65,2017-09-29 15:16:19,Image,733917,13702
66,2017-09-25 22:37:29,Image,485971,3882
67,2017-09-20 16:11:47,Image,238652,1991
68,2017-09-18 13:22:57,Video,99223,685
69,2017-09-15 20:43:49,Image,117948,492
70,2017-09-14 13:49:23,Image,36404,398
71,2017-09-13 23:56:30,Image,87499,369
72,2017-09-13 09:45:08,Image,119326,368
73,2017-09-13 09:44:16,Image,142531,212
74,2017-09-13 09:42:41,Image,153986,277
75,2017-09-12 16:07:19,Image,185720,582
76,2017-09-12 16:06:58,Image,50421,133
77,2017-09-12 16:06:47,Image,98030,218
78,2017-09-11 22:22:03,Image,548334,4229
79,2017-09-11 22:21:06,Image,240829,356
80,2017-09-11 22:20:43,Image,352309,1681
81,2017-09-10 19:58:38,Image,139702,287
82,2017-09-10 19:57:09,Image,121299,163
83,2017-09-10 19:54:43,Image,268683,943
84,2017-09-08 15:34:52,Image,139806,339
85,2017-09-08 15:33:29,Image,234263,690
86,2017-09-08 15:32:54,Image,174695,412
87,2017-09-06 21:51:14,Image,197828,723
88,2017-09-06 21:49:48,Image,204525,590
89,2017-09-06 21:48:40,Image,276878,982
90,2017-09-05 12:27:41,Image,60606,266
