,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-23 19:45:55,Image,1281311,6389
1,2018-03-17 03:29:25,Image,660511,1929
2,2018-03-15 19:05:41,Image,503558,1517
3,2018-03-14 20:33:30,Image,775351,9747
4,2018-03-13 22:28:44,Image,1021299,14843
5,2018-03-08 21:15:26,Image,532046,2926
6,2018-03-01 17:33:26,Image,923934,10912
7,2018-02-28 16:16:16,Video,537408,5143
8,2018-02-19 01:55:51,Image,1042158,6244
9,2018-02-18 13:59:57,Image,633820,2442
10,2018-02-14 16:50:08,Video,665548,15330
11,2018-02-14 13:54:56,Image,1543340,5845
12,2018-02-02 19:04:35,Video,893880,7639
13,2018-01-30 03:26:44,Image,848298,5545
14,2018-01-25 14:13:40,Image,768700,7060
15,2018-01-24 05:07:40,Image,911109,5941
16,2018-01-19 12:58:02,Image,399496,1511
17,2018-01-18 19:21:10,Video,253645,2102
18,2018-01-16 01:26:32,Video,1176904,18892
19,2018-01-16 00:54:39,Image,471251,1524
20,2018-01-14 12:48:51,Image,650292,1892
21,2018-01-05 14:22:18,Video,1058001,17057
22,2018-01-01 04:50:22,Image,1173101,4192
23,2017-12-31 15:25:58,Video,531419,8245
24,2017-12-30 17:28:51,Video,271670,1878
25,2017-12-30 17:06:31,Image,833743,2428
26,2017-12-30 02:33:20,Image,698555,2165
27,2017-12-27 16:50:28,Video,227819,1633
28,2017-12-25 19:57:20,Image,2410756,15370
29,2017-12-18 23:32:52,Image,1091162,5185
30,2017-12-13 04:08:33,Image,523739,4153
31,2017-12-09 22:45:37,Image,656275,5253
32,2017-12-09 18:25:51,Image,797176,6081
33,2017-11-30 19:42:59,Image,210597,3537
34,2017-11-26 02:53:48,Image,692005,8381
35,2017-11-26 02:45:48,Image,911491,4095
36,2017-11-21 16:26:14,Video,196471,2246
37,2017-11-21 00:44:34,Image,882516,2383
38,2017-11-20 20:09:11,Video,536542,4398
39,2017-11-14 22:00:40,Image,480136,2772
40,2017-11-11 16:28:06,Image,383264,2229
41,2017-11-06 18:38:31,Image,774271,3530
42,2017-11-05 16:27:17,Image,252136,740
43,2017-11-05 16:18:52,Image,235160,784
44,2017-10-29 19:57:28,Video,894018,10508
45,2017-10-27 12:04:06,Image,975634,5455
46,2017-10-26 23:46:53,Video,247632,1654
47,2017-10-20 20:25:35,Image,519639,2504
48,2017-10-19 03:09:57,Image,250135,933
49,2017-10-18 19:42:58,Image,666384,4318
50,2017-10-16 22:25:22,Video,259230,2116
51,2017-10-15 21:46:00,Image,247682,789
52,2017-10-07 21:03:37,Image,634461,3068
53,2017-10-07 05:23:42,Image,652797,2253
54,2017-10-05 08:02:09,Image,845704,3820
55,2017-09-21 15:05:59,Image,643967,6891
56,2017-09-18 19:33:30,Image,847457,4352
57,2017-09-17 12:33:41,Video,391437,2847
58,2017-09-10 13:54:58,Video,321303,2999
59,2017-09-06 19:04:23,Video,252710,3325
60,2017-08-28 02:15:30,Image,581989,2195
61,2017-08-25 17:46:44,Image,1048907,4605
62,2017-08-25 06:49:35,Image,519639,1282
63,2017-08-24 18:02:14,Image,837008,3924
64,2017-08-23 06:28:10,Image,529889,1541
65,2017-08-15 21:45:45,Image,414939,4697
66,2017-08-15 21:43:19,Image,299596,844
67,2017-08-09 21:40:10,Image,243692,762
68,2017-08-09 14:17:48,Image,505415,1332
69,2017-08-08 23:51:57,Image,469319,863
70,2017-08-08 15:16:53,Image,646885,1386
71,2017-08-08 11:58:23,Video,218615,1319
72,2017-08-08 00:15:16,Image,336521,648
73,2017-08-04 23:45:40,Image,435142,1157
74,2017-08-04 11:56:35,Image,687789,1895
75,2017-08-01 21:22:23,Image,287342,771
76,2017-08-01 12:57:52,Video,491021,2456
77,2017-07-30 17:37:52,Video,389250,3773
78,2017-07-30 10:34:04,Image,553469,1334
79,2017-07-27 07:20:57,Image,823643,2869
80,2017-07-27 02:05:40,Video,740398,7124
81,2017-07-26 01:35:00,Image,375623,813
82,2017-07-25 21:23:38,Image,277748,443
83,2017-07-25 21:22:58,Image,418501,667
84,2017-07-23 21:42:56,Video,259179,2060
85,2017-07-23 20:25:35,Image,461481,1041
86,2017-07-23 03:36:40,Image,526137,1235
87,2017-07-22 06:09:41,Video,410472,1871
88,2017-07-22 00:29:00,Image,219488,389
89,2017-07-21 18:26:22,Image,564186,2115
90,2017-07-20 12:02:51,Video,688638,5948
91,2017-07-19 17:53:53,Image,779874,5290
92,2017-07-16 21:19:07,Image,598571,2023
93,2017-07-15 21:10:11,Image,428838,1006
94,2017-07-12 23:26:26,Image,775651,3632
95,2017-07-12 20:23:41,Image,481485,1167
