,DATE,MEDIA,LIKES,COMMENTS
0,2018-03-30 12:44:55,Image,97,0
1,2018-03-30 12:42:23,Image,245,0
2,2018-03-29 23:51:04,Video,99,0
3,2018-03-28 15:05:39,Image,193,0
4,2018-03-28 15:04:20,Image,121,0
5,2018-03-27 02:18:32,Video,133,0
6,2018-03-27 02:11:07,Image,112,0
7,2018-03-27 01:54:29,Image,229,0
8,2018-03-25 01:38:33,Video,109,0
9,2018-03-25 01:29:34,Image,220,0
10,2018-03-25 01:18:10,Image,320,0
11,2018-03-24 14:38:04,Video,329,0
12,2018-03-24 12:07:02,Image,179,0
13,2018-03-24 11:59:04,Image,304,0
14,2018-03-23 02:32:25,Video,157,0
15,2018-03-22 23:29:10,Image,209,0
16,2018-03-22 23:12:19,Image,355,0
17,2018-03-20 05:08:56,Video,130,0
18,2018-03-20 04:12:14,Image,147,0
19,2018-03-20 04:10:07,Image,232,0
20,2018-03-19 03:10:30,Video,134,0
21,2018-03-19 02:08:41,Image,169,0
22,2018-03-19 02:08:06,Image,364,0
23,2018-03-18 13:14:04,Video,248,0
24,2018-03-18 13:10:12,Image,236,0
25,2018-03-18 13:07:39,Image,536,0
26,2018-03-16 16:52:05,Video,113,0
27,2018-03-16 16:51:09,Image,228,0
28,2018-03-16 16:48:14,Image,296,0
29,2018-03-15 19:32:52,Video,103,0
30,2018-03-15 19:30:25,Image,256,0
31,2018-03-15 19:25:36,Image,618,0
32,2018-03-14 03:26:15,Video,110,0
33,2018-03-14 03:24:35,Image,192,0
34,2018-03-14 03:19:58,Image,446,0
35,2018-03-13 02:28:03,Video,406,0
36,2018-03-13 01:47:47,Image,434,0
37,2018-02-25 01:14:08,Image,995,0
