,DATE,MEDIA,LIKE,COMMENTS
0,2018-03-08 13:42:27,Image,151822,817
1,2018-02-24 15:15:04,Image,271269,2206
2,2018-02-14 13:45:07,Image,102112,944
3,2018-02-14 13:11:26,Video,260056,1497
4,2018-02-09 16:50:16,Video,145126,2003
5,2018-02-07 15:30:09,Image,252985,1382
6,2018-01-31 16:37:30,Image,266397,1282
7,2018-01-27 22:10:52,Image,288079,1248
8,2018-01-27 22:01:20,Image,280625,905
9,2018-01-27 03:06:48,Image,342172,1273
10,2018-01-20 23:59:35,Image,416490,3465
11,2018-01-20 23:58:37,Image,378054,5528
12,2018-01-20 12:30:21,Image,280532,2556
13,2018-01-07 01:46:07,Image,318263,1840
14,2018-01-01 13:33:53,Image,345362,2529
15,2017-12-21 00:08:12,Image,365021,3742
16,2017-11-24 15:24:15,Video,136915,4925
17,2017-11-14 17:02:40,Image,170565,2691
18,2017-11-12 16:37:34,Image,233924,1931
19,2017-11-12 14:58:27,Image,421809,1374
20,2017-11-12 14:48:30,Image,278037,1020
21,2017-11-10 03:30:13,Image,79341,1130
22,2017-10-19 23:58:52,Image,200069,2379
23,2017-10-02 17:35:39,Image,101922,1885
24,2017-10-02 14:37:03,Image,327177,3355
25,2017-09-28 16:05:52,Image,208581,11599
26,2017-09-25 20:55:41,Image,67730,545
27,2017-09-23 21:16:39,Image,268651,2237
28,2017-09-23 14:00:51,Image,490837,7682
29,2017-09-22 21:29:21,Image,180569,1328
30,2017-09-21 18:05:48,Video,92675,1666
31,2017-09-18 17:37:12,Video,206251,1886
32,2017-09-16 17:59:21,Image,288415,1563
33,2017-09-06 14:04:43,Video,126110,1498
34,2017-09-05 01:42:57,Image,174892,940
35,2017-09-03 00:37:50,Video,81830,397
36,2017-08-30 22:45:23,Video,108098,1768
37,2017-08-28 21:23:07,Video,47240,332
38,2017-08-18 11:46:01,Image,196663,2583
39,2017-08-16 12:49:17,Image,97959,698
40,2017-08-14 14:07:43,Image,91019,438
41,2017-08-13 23:28:56,Video,50099,309
42,2017-08-02 17:46:26,Image,42145,809
43,2017-08-01 22:24:16,Image,269846,1680
44,2017-07-26 10:31:14,Image,57205,310
45,2017-07-23 08:39:48,Image,193039,984
46,2017-07-23 03:25:53,Image,109498,667
47,2017-07-18 22:14:22,Video,50912,793
48,2017-07-16 15:28:07,Image,58316,537
49,2017-07-13 00:37:15,Image,353558,5416
50,2017-07-13 00:25:08,Image,192133,1683
51,2017-07-12 21:31:15,Image,117843,1373
52,2017-07-11 18:11:43,Video,187571,3345
53,2017-07-01 20:03:58,Image,174900,1792
54,2017-07-01 00:28:53,Image,566123,13734
55,2017-07-01 00:26:48,Image,350305,6753
56,2017-06-25 21:08:03,Image,111798,10416
57,2017-06-24 20:06:24,Video,78187,1168
58,2017-06-14 17:04:51,Image,106309,14176
59,2017-06-10 13:11:25,Image,31402,9584
60,2017-05-23 23:36:44,Image,126690,5089
61,2017-05-16 00:31:56,Image,137783,2537
62,2017-05-09 15:41:56,Image,99461,1809
63,2017-04-13 01:00:01,Image,166733,10305
64,2017-04-05 13:38:10,Image,130742,2061
65,2017-04-04 13:14:54,Image,55024,601
66,2017-03-30 16:21:56,Image,164410,1699
67,2017-03-19 22:32:38,Image,145974,1628
68,2017-03-15 22:35:31,Image,125900,871
69,2017-03-13 21:46:37,Image,83098,475
70,2017-03-13 19:11:05,Image,64843,267
71,2017-03-13 18:40:35,Image,117814,471
72,2017-03-13 18:40:09,Image,106121,397
73,2017-03-12 21:44:12,Image,87408,244
74,2017-02-20 04:22:22,Image,172367,4560
75,2017-02-19 00:04:58,Image,132151,989
76,2017-02-18 01:24:34,Image,74658,404
77,2017-02-09 18:47:14,Image,110051,1120
78,2017-02-07 12:39:44,Image,120760,953
79,2017-01-28 00:57:30,Image,121988,1018
80,2017-01-27 00:28:23,Image,116196,927
81,2017-01-24 02:03:31,Image,79464,393
82,2017-01-19 04:33:11,Image,78129,634
83,2017-01-11 15:24:25,Image,91886,913
84,2017-01-11 15:13:31,Image,61603,416
85,2017-01-10 13:03:13,Image,95762,439
86,2017-01-09 17:31:14,Image,43812,425
87,2017-01-09 16:04:46,Image,92884,2190
88,2017-01-09 15:55:45,Image,129818,3435
89,2017-01-09 15:34:44,Image,130460,1166
90,2017-01-09 07:14:02,Image,98600,1628
91,2017-01-08 19:55:18,Image,46051,219
92,2017-01-08 12:03:38,Image,45731,148
93,2017-01-06 17:10:37,Image,66005,612
94,2017-01-04 23:47:24,Video,33374,312
95,2017-01-04 01:44:30,Image,53890,286
96,2017-01-02 16:08:31,Image,88221,488
97,2016-12-30 21:06:36,Image,59338,186
98,2016-12-20 12:49:22,Image,24531,698
99,2016-12-20 00:01:37,Image,70999,400
100,2016-12-18 22:47:16,Image,78461,345
101,2016-12-18 11:38:25,Image,67972,153
102,2016-12-15 16:49:39,Image,186997,845
103,2016-12-13 18:58:20,Image,25822,305
104,2016-12-07 04:35:49,Video,34401,598
105,2016-12-07 04:34:59,Video,21247,355
106,2016-12-06 17:05:52,Image,61647,322
107,2016-12-05 02:37:49,Image,39413,193
108,2016-12-05 02:17:32,Image,44942,217
109,2016-11-29 00:40:25,Video,32447,343
110,2016-11-24 14:11:17,Video,28929,456
111,2016-11-19 15:01:42,Image,67455,550
112,2016-11-01 23:23:37,Image,70120,972
113,2016-10-31 22:23:52,Image,44183,483
114,2016-10-18 18:33:52,Image,62149,529
115,2016-10-12 12:07:31,Image,58279,741
116,2016-10-04 17:54:11,Image,106983,934
117,2016-10-04 01:53:23,Image,131642,479
118,2016-09-23 23:36:26,Image,136446,323
119,2016-09-17 12:00:37,Image,49695,216
120,2016-09-12 18:19:49,Video,48492,390
121,2016-09-10 15:36:41,Image,104753,788
122,2016-09-09 00:34:54,Image,63642,328
123,2016-09-05 21:51:34,Image,20670,225
124,2016-09-02 19:52:26,Video,33730,423
125,2016-09-02 19:42:49,Image,63219,369
126,2016-09-02 12:27:05,Image,65453,241
127,2016-09-01 16:56:51,Image,62613,759
128,2016-08-31 23:31:20,Image,128217,1020
129,2016-08-24 16:36:09,Image,87143,757
130,2016-08-24 16:30:44,Image,106816,828
131,2016-08-21 21:36:37,Image,86453,374
132,2016-08-21 21:28:53,Image,62571,486
133,2016-08-21 21:25:40,Image,97119,379
134,2016-08-21 18:19:27,Image,162111,1074
135,2016-08-16 21:18:59,Image,108104,873
136,2016-08-16 15:14:05,Image,37417,270
137,2016-08-16 15:13:29,Image,51419,171
138,2016-08-16 01:32:20,Image,82706,564
139,2016-08-15 16:27:01,Image,67224,373
140,2016-08-13 13:11:28,Video,36937,326
141,2016-08-12 22:01:36,Image,113209,581
142,2016-08-11 20:46:35,Image,106050,609
143,2016-08-08 21:03:40,Image,111911,771
144,2016-08-07 21:42:15,Image,54647,407
145,2016-08-07 13:50:16,Image,68341,363
146,2016-08-06 21:21:02,Video,94281,3924
147,2016-08-05 20:55:49,Video,80242,657
148,2016-08-05 12:30:45,Image,37731,194
149,2016-08-04 18:46:18,Image,89781,502
150,2016-08-04 08:32:10,Image,39948,162
151,2016-08-03 15:25:43,Image,50831,317
152,2016-08-02 22:54:13,Image,65395,266
153,2016-07-31 17:24:14,Image,51676,183
154,2016-07-30 19:12:50,Image,47063,337
155,2016-07-27 01:37:09,Image,101225,730
156,2016-07-24 23:50:43,Image,135569,744
157,2016-07-23 16:14:23,Image,101609,503
158,2016-07-23 01:00:06,Image,87070,517
159,2016-07-21 17:32:44,Image,74380,219
160,2016-07-21 14:56:27,Image,116249,739
161,2016-07-18 02:23:37,Image,64448,441
162,2016-07-15 14:23:34,Image,17708,130
163,2016-07-15 13:36:06,Image,27211,131
164,2016-07-14 00:37:09,Image,64125,230
165,2016-07-14 00:16:53,Image,58234,159
166,2016-07-13 22:41:17,Image,85742,327
167,2016-07-11 11:40:35,Image,149908,455
168,2016-07-08 00:28:56,Image,49546,1518
169,2016-07-08 00:03:19,Image,38171,180
170,2016-07-07 00:48:39,Video,29275,194
171,2016-07-06 14:55:56,Image,127444,874
172,2016-07-06 14:45:34,Video,69705,801
173,2016-07-05 13:34:32,Image,52858,218
174,2016-06-27 17:55:07,Image,111482,995
175,2016-06-27 17:49:53,Image,49934,314
176,2016-06-23 15:34:38,Image,60500,1193
177,2016-06-23 08:24:15,Image,63689,360
178,2016-06-23 08:20:53,Image,96948,735
179,2016-06-15 01:10:29,Video,45395,998
180,2016-06-12 19:32:41,Image,70830,389
181,2016-06-11 20:18:14,Image,24293,163
182,2016-06-09 14:37:10,Image,17490,89
183,2016-06-06 09:18:50,Image,71505,1194
184,2016-06-02 01:55:27,Image,71764,630
185,2016-06-01 23:55:23,Image,146294,5331
186,2016-05-28 16:24:44,Image,59245,1204
187,2016-05-26 07:27:40,Image,87238,1293
188,2016-05-25 13:40:21,Image,31881,278
189,2016-05-24 11:45:17,Image,34929,246
190,2016-05-21 17:16:56,Image,35190,361
191,2016-05-20 03:17:06,Image,44080,401
192,2016-05-18 06:33:59,Image,60589,803
193,2016-05-08 14:14:36,Image,38865,272
194,2016-05-08 10:21:03,Image,66210,240
195,2016-05-07 21:21:16,Image,73495,1048
196,2016-05-01 10:35:51,Video,45997,2107
197,2016-05-01 00:55:24,Image,52633,588
198,2016-04-13 23:27:50,Image,84139,1322
199,2016-04-13 01:21:21,Image,105681,523
200,2016-04-10 23:07:06,Image,62987,602
201,2016-03-24 15:03:41,Video,26129,280
202,2016-03-04 23:12:05,Image,46817,537
203,2016-02-13 00:42:01,Image,68036,909
204,2016-02-10 23:25:58,Image,43415,906
205,2016-02-09 22:30:09,Image,45313,5516
206,2016-02-09 12:25:24,Image,49485,830
207,2016-02-09 02:03:03,Image,121332,1092
208,2016-01-30 12:32:11,Image,53241,514
209,2016-01-22 16:25:23,Image,62101,664
