"NAME","USERNAME","TEAM"
"Aaron Gordon","original00g","ORL"
"Al Horford","al_horford","BOS"
"Al-Farouq Aminu","chiefhasarrived","POR"
"Alex Abrines","alexabrines","OKC"
"Allen Crabbe","allencrabbe","BKN"
"Amir Johnson","iamamirjohnson","PHI"
"Andre Drummond","andredrummondd","DET"
"Andre Iguodala","andre","GSW"
"Andrew Harrison","drewroc5","MEM"
"Andrew Wiggins","22wiggins","MIN"
"Anthony Davis","antdavis23","NOP"
"Anthony Tolliver","atolliver44","DET"
"Aron Baynes","houseobayne","BOS"
"Arron Afflalo","thearronafflalo","ORL"
"Austin Rivers","austinjrivers","LAC"
"Bam Adebayo","bam1of1","MIA"
"Ben McLemore","b_mclemore23","MEM"
"Ben Simmons","bensimmons","PHI"
"Bismack Biyombo","bismackbiyombo","ORL"
"Blake Griffin","blakegriffin23","DET"
"Bobby Portis","bportistime","CHI"
"Bogdan Bogdanovic","bogdanbogdanovic","SAC"
"Bojan Bogdanovic","44bojan","IND"
"Bradley Beal","bradbeal3","WAS"
"Brandon Ingram","1ngram4","LAL"
"Brandon Paul","bpaul","SAS"
"Brook Lopez","brookiethewookie11","LAL"
"Bryn Forbes","brynforbes","SAS"
"Buddy Hield","buddylove242","SAC"
"CJ McCollum","3jmccollum","POR"
"CJ Miles","masfresco","TOR"
"Carmelo Anthony","carmeloanthony","OKC"
"Cedi Osman","cediosman","CLE"
"Channing Frye","channingfrye","LAL"
"Chris Paul","cp3","HOU"
"Clint Capela","ccapela15","HOU"
"Corey Brewer","cbrewcrew3","OKC"
"Cory Joseph","coryjoseph","IND"
"Courtney Lee","courtneylee","NYK"
"Cristiano Felicio","imfelicio","CHI"
"Damian Lillard","damianlillard","POR"
"Daniel Theis","dtheis10","BOS"
"Danny Green","greenranger14","SAS"
"Dante Cunningham","dlamarc33","BKN"
"Dario Saric","megalodon20","PHI"
"Darius Miller","dmillerky","NOP"
"Darren Collison","darrencollison_","IND"
"David Nwaba","davidnwaba","CHI"
"David West","_dwesooo","GSW"
"Davis Bertans","dbertans_42","SAS"
"De'Aaron Fox","swipathefox","SAC"
"DeAndre Jordan","deandre","LAC"
"DeAndre Liggins","dliggs14","NOP"
"DeMar DeRozan","demar_derozan","TOR"
"DeMarcus Cousins","boogiecousins","NOP"
"DeMarre Carroll","demarrecarroll1","BKN"
"Dejounte Murray","dejountemurray","SAS"
"Delon Wright","delonwright","TOR"
"Dennis Schroder","ds17_fg","ATL"
"Dennis Smith Jr.","desmith4","DAL"
"Denzel Valentine","denzelvalentine","CHI"
